資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
傳藝中心內部控制聲明書,98154,本中心年度內部控制聲明書,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立傳統藝術中心
傳藝中心-補捐助預算執行情形,98155,本中心補捐助預算執行-公款補助國內團體情形季報表,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立傳統藝術中心
傳藝中心-資訊圖表,98156,本中心各項分析資訊圖，包含：預算執行與重要績效、表演藝術消費參與概況調查計畫－研究主要發現、表演藝術團體基礎概況調查計畫－成果資訊圖表、傳藝中心園區委外經營績效、傳藝中心性別統計等。,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立傳統藝術中心
傳藝中心-採購案招標公告,98158,傳藝中心-採購案招標公告,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立傳統藝術中心
傳藝中心-研究典藏-最新消息,98159,國立傳統藝術中心傳藝資料館位於宜蘭園區，提供傳藝資料館對外相關訊息，包含：館所公告、館藏目錄、新書介紹...等。,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立傳統藝術中心
傳藝中心法律法規及行政規則,98160,傳藝中心法律法規及行政規則，依內容分為：組織類、文物典藏類、圖書館類、獎助/濟助/補助類、作業要點/須知類、其他,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立傳統藝術中心
新竹美學館法規及行政規則,102819,新竹美學館法規及行政規則,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立新竹生活美學館
新竹美學館業務統計,102821,新竹美學館業務統計,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立新竹生活美學館
文化部文化志工統計,103017,文化部調查之文化志工統計數據,年度;單位名稱;志工隊數;志工總人數;志工男性;志工女性,文化部
文化部文創產業家數與營業額統計資訊,103019,"文化部調查之文創產業家數與營業額統計資訊,統計至106年度止",年;大類;細類;家數;營業額-千元;外銷收入-千元;內銷收入-千元,文化部
文化部我國國產與進口影片核定准演部數統計,103022,"文化部調查之我國國產與進口影片核定准演部數統計,統計至106年度止",年度;片別;國產影片審議分級部數,文化部
文化部高等教育推廣教育中心名錄,103023,文化部調查之高等教育推廣教育中心名錄(高等教育文化人才培訓單位名錄),編號;機構;郵遞區號;地址,文化部
文化部國家與地方考試文化行政類錄取人數統計,103025,"文化部調查之國家與地方考試文化行政類錄取人數統計,統計至106年度",年度;考試名稱;錄取總人數;文化行政類錄取人數,文化部
臺博館施政計劃,103133,國立臺博館施政計劃,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立臺灣博物館
臺南美學館施政計畫,103134,臺南美學館年度重要施政計畫,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立臺南生活美學館
臺南美學館捐補助辦法,103135,臺南美學館館捐補助辦法,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立臺南生活美學館
書面之公共工程及採購契約,103140,年度公共工程及採購案統計,Id;PublishTime;Subject;PageUrl;Mutilattach,國立臺灣工藝研究發展中心
文資局接受及支付補助金,103220,文資局接受及支付補助金相關資訊,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,文化部文化資產局
工藝中心決算報表,103467,工藝中心決算報表,Id;BaseCategoryName ;PublishTime;Subject;PageUrl;Mutilattach,國立臺灣工藝研究發展中心
中正紀念堂會計報告,104216,中正紀念堂會計報告,Id;SiteId;UnitId;BaseCategoryName;PublishTime;Subject;DownCount;Mutilattach,國立中正紀念堂管理處
