地方檢察署執行公共危險罪案件裁判確定人數(統計),['14986']
地方檢察署執行妨害公務罪案件裁判確定人數(統計),['14981']
地方檢察署執行妨害名譽及信用罪案件裁判確定人數(統計),['14997']
地方檢察署執行妨害婚姻及家庭罪案件裁判確定人數(統計),['14992']
地方檢察署執行妨害性自主罪案件裁判確定人數(統計),['14990']
地方檢察署執行妨害投票罪案件裁判確定人數(統計),['14982']
地方檢察署執行妨害秘密罪案件裁判確定人數(統計),['14998']
地方檢察署執行妨害自由罪案件裁判確定人數(統計),['14996']
地方檢察署執行妨害電腦使用罪案件裁判確定人數(統計),['15011']
地方檢察署執行妨害風化罪案件裁判確定人數(統計),['14991']
地方檢察署執行家庭暴力案件裁判確定人數(統計),['57202']
地方檢察署執行強盜罪案件裁判確定人數(統計),['15000']
地方檢察署執行性侵害案件裁判確定人數(統計),['77300']
地方檢察署執行性騷擾案件裁判確定人數(統計),['57201']
地方檢察署執行恐嚇罪案件裁判確定人數(統計),['15006']
地方檢察署執行搶奪罪案件裁判確定人數(統計),['15001']
地方檢察署執行擄人勒贖罪案件裁判確定人數(統計),['15007']
地方檢察署執行暴力犯罪案件裁判確定人數(統計),['39412']
地方檢察署執行案件裁判確定人數(統計),['39413']
地方檢察署執行殺人罪案件裁判確定人數(統計),['14994']
地方檢察署執行毀棄損壞罪案件裁判確定人數(統計),['15010']
地方檢察署執行毒品案件裁判確定人數(統計),['98521']
地方檢察署執行毒品案件裁判確定件數(統計),['101327']
地方檢察署執行毒品案件裁判確定有罪人數(統計),['107291']
地方檢察署執行涉外案件裁判確定人數(統計),['80217']
地方檢察署執行涉外案件裁判確定有罪人數(統計),['80218']
地方檢察署執行瀆職罪案件裁判確定人數(統計),['14980']
地方檢察署執行竊盜罪案件裁判確定人數(統計),['14999']
地方檢察署執行背信罪案件裁判確定人數(統計),['15004']
地方檢察署執行藏匿人犯罪案件裁判確定人數(統計),['14983']
地方檢察署執行詐欺罪案件裁判確定人數(統計),['15003']
地方檢察署執行誣告罪案件裁判確定人數(統計),['14985']
地方檢察署執行賭博罪案件裁判確定人數(統計),['14993']
地方檢察署執行贓物罪案件裁判確定人數(統計),['15009']
地方檢察署執行違反個人資料保護法案件裁判確定人數(統計),['15043']
地方檢察署執行違反兒童及少年性交易防制條例案件裁判確定人數(統計),['15034']
地方檢察署執行違反公司法案件裁判確定人數(統計),['15031']
地方檢察署執行違反公平交易法案件裁判確定人數(統計),['15038']
地方檢察署執行違反公職人員選舉罷免法案件裁判確定人數(統計),['15035']
地方檢察署執行違反商標法案件裁判確定人數(統計),['15036']
地方檢察署執行違反國家安全法案件裁判確定人數(統計),['130162']
地方檢察署執行違反妨害兵役治罪條例案件裁判確定人數(統計),['15017']
地方檢察署執行違反家庭暴力防治法案件裁判確定人數(統計),['15013']
地方檢察署執行違反就業服務法案件裁判確定人數(統計),['15039']
地方檢察署執行違反廢棄物清理法案件裁判確定人數(統計),['15041']
地方檢察署執行違反建築法案件裁判確定人數(統計),['15022']
地方檢察署執行違反懲治走私條例案件裁判確定人數(統計),['15018']
地方檢察署執行違反政府採購法案件裁判確定人數(統計),['15012']
地方檢察署執行違反期貨交易法案件裁判確定人數(統計),['15040']
地方檢察署執行違反森林法案件裁判確定人數(統計),['15019']
地方檢察署執行違反槍砲彈藥刀械管制條例案件裁判確定人數(統計),['15015']
地方檢察署執行違反毒品危害防制條例案件裁判確定人數(統計),['15021']
地方檢察署執行違反水土保持法案件裁判確定人數(統計),['15020']
地方檢察署執行違反洗錢防制法案件裁判確定人數(統計),['15024']
地方檢察署執行違反營業秘密法案件裁判確定人數(統計),['117660']
地方檢察署執行違反稅捐稽徵法案件裁判確定人數(統計),['15026']
地方檢察署執行違反組織犯罪防制條例案件裁判確定人數(統計),['15016']
地方檢察署執行違反臺灣地區與大陸地區人民關係條例案件裁判確定人數(統計),['15042']
地方檢察署執行違反著作權法案件裁判確定人數(統計),['15030']
地方檢察署執行違反藥事法案件裁判確定人數(統計),['15028']
地方檢察署執行違反證券交易法案件裁判確定人數(統計),['15037']
地方檢察署執行違反貪污治罪條例案件裁判確定人數(統計),['15014']
地方檢察署執行違反農藥管理法案件裁判確定人數(統計),['15027']
地方檢察署執行違反野生動物保育法案件裁判確定人數(統計),['15033']
地方檢察署執行違反銀行法案件裁判確定人數(統計),['15023']
地方檢察署執行違反食品安全衛生管理法案件裁判確定人數(統計),['15032']
地方檢察署執行重利罪案件裁判確定人數(統計),['15005']
地方檢察署得再議案件件數(統計),['39411']
地方檢察署成年觀護案件終結件數,"['15119', '15120']"
地方檢察署易服社會勞動案件終結件數,['39445']
地方檢察署易服社會勞動社區處遇執行勞務人次,['39448']
地方檢察署犯罪被害補償事件終結件數,"['15125', '15126']"
地方檢察署申請犯罪被害補償終結事件被害人數,"['15131', '15132', '15133']"
地方檢察署申請犯罪被害補償金事件決定補償人數(統計),['15127']
地方檢察署申請犯罪被害補償金事件決定補償金額(統計),['15128']
地方檢察署申請犯罪被害補償金事件終結件數,"['15129', '15130']"
地方檢察署社區處遇執行勞務人次,"['15121', '15122']"
地方檢察署社區處遇終結案件實際履行件數(統計),['15123']
地方檢察署社區處遇終結案件實際履行時數(統計),['15124']
地方檢察署緩起訴社區處遇執行勞務人次,['39446']
地方檢察署緩起訴社區處遇案件終結件數,"['39443', '122810']"
地方檢察署辦理侵占罪案件偵查終結人數(統計),['14941']
地方檢察署辦理偽證罪案件偵查終結人數(統計),['14922']
地方檢察署辦理偽造文書印文罪案件偵查終結人數(統計),['14927']
地方檢察署辦理偽造有價證券罪案件偵查終結人數(統計),['14926']
地方檢察署辦理偽造貨幣罪案件偵查終結人數(統計),['14925']
地方檢察署辦理傷害罪案件偵查終結人數(統計),['14933']
地方檢察署辦理公共危險罪案件偵查終結人數(統計),['14924']
地方檢察署辦理刑事案件新收件數(統計),['39409']
地方檢察署辦理刑事案件終結件數(統計),['39410']
地方檢察署辦理妨害公務罪案件偵查終結人數(統計),['14919']
地方檢察署辦理妨害名譽及信用罪案件偵查終結人數(統計),['14935']
地方檢察署辦理妨害婚姻及家庭罪案件偵查終結人數(統計),['14930']
地方檢察署辦理妨害性自主罪案件偵查終結人數(統計),['14928']
地方檢察署辦理妨害投票罪案件偵查終結人數(統計),['14920']
地方檢察署辦理妨害秘密罪案件偵查終結人數(統計),['14936']
地方檢察署辦理妨害自由罪案件偵查終結人數(統計),['14934']
地方檢察署辦理妨害電腦使用罪案件偵查終結人數(統計),['14949']
地方檢察署辦理妨害風化罪案件偵查終結人數(統計),['14929']
地方檢察署辦理家庭暴力案件-檢察官附條件處分人數(統計),['112802']
地方檢察署辦理家庭暴力案件偵查終結人數(統計),['57200']
地方檢察署辦理強盜罪案件偵查終結人數(統計),['14939']
地方檢察署辦理性侵害案件偵查終結人數(統計),['77299']
地方檢察署辦理性騷擾案件偵查終結人數(統計),['57199']
地方檢察署辦理恐嚇罪案件偵查終結人數(統計),['14945']
地方檢察署辦理搶奪罪案件偵查終結人數(統計),['14940']
地方檢察署辦理擄人勒贖罪案件偵查終結人數(統計),['14946']
地方檢察署辦理暴力犯罪案件偵查終結人數(統計),['39401']
地方檢察署辦理殺人罪案件偵查終結人數(統計),['14932']
地方檢察署辦理毀棄損壞罪案件偵查終結人數(統計),['14948']
地方檢察署辦理毒品案件偵查終結人數(統計),['98520']
地方檢察署辦理毒品案件偵查終結件數(統計),['101326']
地方檢察署辦理瀆職罪案件偵查終結人數(統計),['14918']
地方檢察署辦理竊盜罪案件偵查終結人數(統計),['14938']
地方檢察署辦理背信罪案件偵查終結人數(統計),['14943']
地方檢察署辦理藏匿人犯罪案件偵查終結人數(統計),['14921']
地方檢察署辦理詐欺罪案件偵查終結人數(統計),['14942']
地方檢察署辦理誣告罪案件偵查終結人數(統計),['14923']
地方檢察署辦理賭博罪案件偵查終結人數(統計),['14931']
地方檢察署辦理贓物罪案件偵查終結人數(統計),['14947']
地方檢察署辦理違反個人資料保護法案件偵查終結人數(統計),['14979']
地方檢察署辦理違反兒童及少年性交易防制條例案件偵查終結人數(統計),['14970']
地方檢察署辦理違反公司法案件偵查終結人數(統計),['14967']
地方檢察署辦理違反公平交易法案件偵查終結人數(統計),['14974']
地方檢察署辦理違反公職人員選舉罷免法案件偵查終結人數(統計),['14971']
地方檢察署辦理違反商標法案件偵查終結人數(統計),['14972']
地方檢察署辦理違反國家安全法案件偵查終結人數(統計),['130161']
地方檢察署辦理違反妨害兵役治罪條例案件偵查終結人數(統計),['14955']
地方檢察署辦理違反家庭暴力防治法案件偵查終結人數(統計),['14951']
地方檢察署辦理違反就業服務法案件偵查終結人數(統計),['14975']
地方檢察署辦理違反廢棄物清理法案件偵查終結人數(統計),['14977']
地方檢察署辦理違反建築法案件偵查終結人數(統計),['14960']
地方檢察署辦理違反懲治走私條例案件偵查終結人數(統計),['14956']
地方檢察署辦理違反政府採購法案件偵查終結人數(統計),['14950']
地方檢察署辦理違反期貨交易法案件偵查終結人數(統計),['14976']
地方檢察署辦理違反森林法案件偵查終結人數(統計),['14957']
地方檢察署辦理違反槍砲彈藥刀械管制條例案件偵查終結人數(統計),['14953']
地方檢察署辦理違反毒品危害防制條例案件偵查終結人數(統計),['14959']
地方檢察署辦理違反水土保持法案件偵查終結人數(統計),['14958']
地方檢察署辦理違反洗錢防制法案件偵查終結人數(統計),['14962']
地方檢察署辦理違反營業秘密法案件偵查終結人數(統計),['117659']
地方檢察署辦理違反稅捐稽徵法案件偵查終結人數(統計),['14963']
地方檢察署辦理違反組織犯罪防制條例案件偵查終結人數(統計),['14954']
地方檢察署辦理違反臺灣地區與大陸地區人民關係條例案件偵查終結人數(統計),['14978']
地方檢察署辦理違反著作權法案件偵查終結人數(統計),['14966']
地方檢察署辦理違反藥事法案件偵查終結人數(統計),['14965']
地方檢察署辦理違反證券交易法案件偵查終結人數(統計),['14973']
地方檢察署辦理違反貪污治罪條例案件偵查終結人數(統計),['14952']
地方檢察署辦理違反農藥管理法案件偵查終結人數(統計),['14964']
地方檢察署辦理違反野生動物保育法案件偵查終結人數(統計),['14969']
地方檢察署辦理違反銀行法案件偵查終結人數(統計),['14961']
地方檢察署辦理違反食品安全衛生管理法案件偵查終結人數(統計),['14968']
地方檢察署辦理重利罪案件偵查終結人數(統計),['14944']
地方檢察署附條件緩刑社區處遇執行勞務人次,['39447']
地方檢察署附條件緩刑社區處遇案件終結件數,['39444']
大臺北地區民眾對於保留與執行死刑意向與影響因素之初探,['54502']
夫妻財產制貫徹男女平等宣導資料夾,['64213']
夫妻財產新制簡介,['14660']
委託研究案「3、4級毒品處遇設計及策略研究」研究報告,['13600']
委託研究案「修復式正義理念運用於刑事司法制度之探討」研究報告,['13616']
委託研究案「兒童及青少年對犯罪預防認知與作為之研究」研究報告,['13611']
委託研究案「兒童少年妨害性自主罪之研究」研究報告,['13610']
委託研究案「刑事司法機構內與機構外之處遇與連結—對再犯之研究」研究報告,['13606']
委託研究案「建置本土有效戒毒系統之初探：法務系統資料分析」研究報告,['13604']
委託研究案「性侵害犯罪加害人再犯危險評估量表之建立：動態危險因素之探測」研究報告,['13608']
委託研究案「我國女性犯罪原因與矯治處遇相關課題之研究」研究報告,['13614']
