資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
合法收出養媒合服務者,27278,提供合法收出養媒合服務者基本資料及聯絡方式。,序號;名稱;電話;服務處所地址;許可日期及許可證字號;許可範圍,嘉義縣社會局
嘉義縣物資儲備所清冊,27280,提供嘉義縣物資儲備所基本資料。,編號;物資存放點名稱;聯絡人;電話;縣市;鄉鎮市;村里;存放點地址,嘉義縣社會局
嘉義縣綠色商店名單,28032,嘉義縣綠色商店名單,綠色商店類型;綠色商店名稱;商店編號;聯絡人;聯絡地址;連絡電話<br><br>,嘉義縣環境保護局
嘉義縣環境教育場域,28036,嘉義縣環境教育場域,序號;名稱;開放時間;聯絡人;連絡電話;email;住址;網站;場域特色簡介,嘉義縣環境保護局
嘉義縣縣治地區廣告淨區,28046,嘉義縣縣治地區廣告淨區,序號;年;月;清除數量<br>,嘉義縣環境保護局
嘉義縣政府-便民服務-聯絡電話,36863,聯絡電話,ArticleType;FileName;Link;Source;主題1;內容;相關檔案;相關連結;相關圖片;相關影音,嘉義縣政府
嘉義縣政府-便民服務-便民服務表單,36864,便民服務表單,ArticleType;FileName;Link;Source;類別;標題;申請人資格;申請人應備證件;處理期限;處理流程;申請方式;備註欄;上版日期;相關檔案;相關連結;相關圖片,嘉義縣政府
嘉義縣政府-便民服務-常見問答,36865,常見問答,ArticleType;FileName;Link;Source;主題;內容;相關檔案;相關連結;相關圖片;相關影音,嘉義縣政府
嘉義縣政府-縣府訊息-縣府新聞,36866,縣府新聞,ArticleType;FileName;Link;Source;類別;主題;內容;備註;上版日期;相關檔案;相關連結;相關圖片;相關影音,嘉義縣政府
嘉義縣政府-縣府訊息-活動看板-縣府活動看板,36867,縣府活動看板,ArticleType;FileName;Link;Source;類別;活動名稱;活動說明;活動備註;活動起始日期;活動結束日期;活動地點;活動對象;報名方式;聯絡人;聯絡資訊;相關檔案;相關連結;相關圖片;相關影音,嘉義縣政府
嘉義縣政府-縣府訊息-嘉義行腳,36871,嘉義行腳,ArticleType;FileName;Link;Source;主題;內容;相關檔案;相關連結;相關圖片;相關影音,嘉義縣政府
嘉義縣政府-縣府訊息-出版專區,36872,出版專區,ArticleType;FileName;Link;Source;主題;內容;相關檔案;相關連結;相關圖片;相關影音,嘉義縣政府
嘉義縣政府-主題專區-消費者保護園地-檔案下載園地,36875,檔案下載園地,ArticleType;FileName;Link;Source;主題;內容;相關檔案;相關連結;相關圖片;相關影音,嘉義縣政府
嘉義縣政府-主題專區-消費者保護園地-相關連結,36876,相關連結,ArticleType;FileName;Link;Source;主題;相關圖片,嘉義縣政府
嘉義縣政府-主題專區-高齡友善城市-相關新聞及活動訊息,36877,相關新聞及活動訊息,ArticleType;FileName;Link;Source;主題;內容;相關檔案;相關連結;相關圖片;相關影音,嘉義縣政府
嘉義縣政府-主題專區-抗旱資訊專區,36880,抗旱資訊專區,ArticleType;FileName;Link;Source;主題;相關圖片,嘉義縣政府
嘉義縣政府-網網相連-機關網站,36882,機關網站,ArticleType;FileName;Link;Source;類別;主題;相關圖片,嘉義縣政府
嘉義縣政府-網網相連-友好網站,36883,友好網站,ArticleType;FileName;Link;Source;主題;相關圖片,嘉義縣政府
嘉義縣政府-網網相連-主題專區,36884,主題專區,ArticleType;FileName;Link;Source;主題;相關圖片,嘉義縣政府
嘉義縣政府-縣府訊息-縣府公報,36886,縣府公報,ArticleType;FileName;Link;Source;標題;公報年度;公報期數;相關檔案,嘉義縣政府
嘉義縣政府-其他-首頁新聞,36889,首頁新聞,ArticleType;FileName;Link;Source;主題;內容;相關檔案;相關連結;相關圖片;相關影音,嘉義縣政府
嘉義縣政府-其他-焦點主題,36890,焦點主題,ArticleType;FileName;Link;Source;主題;相關圖片,嘉義縣政府
嘉義縣政府-其他-廣告橫幅,36891,廣告橫幅,ArticleType;FileName;Link;Source;主題;相關圖片,嘉義縣政府
嘉義縣政府-便民服務-歷史電子報,36892,歷史電子報,ArticleType;FileName;Link;Source;主題;相關圖片,嘉義縣政府
嘉義縣政府-相關連結-4戶政事務所,36893,4 戶政事務所,ArticleType;FileName;Link;Source;主題;相關圖片,嘉義縣政府
嘉義縣政府-相關連結-1府內組織,36894,1 府內組織,ArticleType;FileName;Link;Source;主題;相關圖片,嘉義縣政府
嘉義縣政府-主題專區-性別主流化專區-最新消息,36899,最新消息,ArticleType;FileName;Link;Source;主題;內容;相關檔案;相關連結;相關圖片;相關影音,嘉義縣政府
嘉義縣政府-主題專區-性別主流化專區-婦女權益促進委員會,36900,婦女權益促進委員會,ArticleType;FileName;Link;Source;主題;內容;相關檔案;相關連結;相關圖片;相關影音,嘉義縣政府
嘉義縣政府-主題專區-性別主流化專區-性別意識培力課程及活動,36901,性別意識培力課程及活動,ArticleType;FileName;Link;Source;主題;內容;相關檔案;相關連結;相關圖片;相關影音,嘉義縣政府
嘉義縣政府-便民服務-檔案下載,36904,檔案下載,ArticleType;FileName;Link;Source;檔案名稱;檔案說明;相關檔案;相關圖片,嘉義縣政府
嘉義縣政府-資訊公開專區-支付或接受之補助,36905,支付或接受之補助,ArticleType;FileName;Link;Source;標題;內容;相關檔案;相關連結,嘉義縣政府
嘉義縣政府-資訊公開專區-預算及決算書,36906,預算及決算書,ArticleType;FileName;Link;Source;標題;內容;相關檔案;相關連結,嘉義縣政府
