天氣分析與預測圖-1週天氣預測圖(第5天),['9253']
天氣分析與預測圖-1週天氣預測圖(第6天),['9254']
天氣分析與預測圖-1週天氣預測圖(第7天),['9255']
天氣分析與預測圖-1週天氣預測圖(黑白),['9256']
天氣分析與預測圖-24小時波浪預報圖,['9260']
天氣分析與預測圖-36小時波浪預報圖,['9261']
天氣分析與預測圖-48小時波浪預報圖,['9262']
天氣分析與預測圖-地面天氣圖,['9246']
天氣分析與預測圖-定量降水預報(I)(未來0-12小時),['9257']
天氣分析與預測圖-定量降水預報(II)(未來12-24小時),['9258']
天氣分析與預測圖-最新天氣圖,['9247']
天氣分析與預測圖-波浪分析圖,['9259']
天氣概況-臺灣天氣概況,['39548']
天氣特報-各別天氣警特報之內容及所影響之區域,['9245']
天氣特報-各別縣市地區目前之天氣警特報情形,['9244']
天氣特報-豪大雨特報,['9560']
存證信函,['10495']
存證信函使用說明,['10500']
安平商港海氣象資訊,['127846']
安平港歷年風速風向資料年報,['41053']
安平港波浪觀測月平均資料,"['97815', '114779']"
安平港海流觀測月平均資料,"['97814', '114780']"
安平港風觀測月平均資料,"['97816', '114778']"
定量降水預報格點資料-陸上颱風警報期間台灣地區定量降水格點預報,['33030']
宜蘭地區eTag配對旅行時間,['31043']
客船管理規則(修正),['47997']
客運時刻,['6052']
客運業務年分析,['31181']
客運概況,['33388']
專用觀測站應經校驗之觀測儀器類別標準,['10530']
專用觀測站觀測儀器校驗辦法,['10531']
專用觀測站認可辦法,['10304']
對民間團體及個人補捐助明細表(以後),['77048']
小區域有感地震報告,['17202']
小客貨車租賃業營運狀況調查,['6249']
小客車動態能耗與碳排放係數,['32143']
小琉球繫錨點座標資料,['102465']
局外單位因施工申請封閉國道車道作業規定,['106476']
局屬氣象站-現在天氣觀測報告,['9178']
工程查核缺失矯正、預防措施及回饋機制觀摩會成果報告,['33355']
已開放燈塔之交通資訊,['28141']
布袋商港海氣象資訊,['127840']
布袋港歷年風速風向資料年報,['41055']
布袋港波浪觀測月平均資料,"['97818', '114767']"
布袋港海流觀測月平均資料,"['97817', '114771']"
布袋港風觀測月平均資料,"['97819', '114765']"
平交道公開資料,['11970']
平交道遮斷桿撞損數及排名,['44080']
平交道遮斷桿撞損統計,['85309']
平常日夜間延時營業郵局,['13788']
年度施政績效報告,['10192']
年度施政計畫,['10189']
年旅客人數分類,['30529']
幼童車資料,['96649']
廢棄物資源物再利用於公路工程規範草案之研究,['10713']
引進商事調解機制對於提升我國自由經濟示範區競爭力之研究,['27675']
從事氣象海象預報業務許可辦法,['10303']
快速公路通車情形與速限統計表,['26376']
我國在船服務人數統計表,['16301']
房地產出租,['8393']
房貸經辦郵局,['108109']
扎根高鐵特定區邁向高速新時代之中文文宣,['97076']
技術顧問提供施政意見表,['10284']
投遞郵局,['8392']
招標資訊,['7310']
捐助或主管財團法人明細表,['99115']
掛號函件改投申請書,['10510']
提供各管理處民眾關心之相關設施點點位,['113960']
提供旅客資料服務,['93879']
提供電話答詢服務,['93878']
擴大公共建設投資計畫特別決算,['10576']
支付或接受之補助,['96967']
收寄大宗分區捆紮郵資折扣函件指定局,['93993']
收費員轉置統計表,['118762']
收費站成立時間表,['118759']
政府原始捐贈之財團法人一覽表,['94192']
政府資料開放具體行動策略,['33312']
政府資料開放諮詢小組會議紀錄,['24502']
數位交通博物館典藏文物-公路類,['42808']
數位交通博物館典藏文物-海運類,['43057']
數位交通博物館典藏文物-航空類,['43056']
數位交通博物館典藏文物-鐵道類,['43055']
數值預報模式-全球預報模式(GFS),['40311']
數值預報模式-區域預報模式(WRF),['58977']
新聞稿,['30371']
新聞紙.雜誌變更/登記申請書,['43496']
新車領牌數,['30202']
旅客運行李包裹部分運費雜費表,['12698']
旅行業基本資料,['72074']
旅行業旅遊意外事故資料集,['93885']
旅行業糾紛資料集,['93884']
旅行業處份案件資料集,['93890']
旅遊服務中心,['41673']
旅運及倉儲業產值調查,['9489']
旅館業中階經理人訓練,['102981']
旅館民宿 -觀光資訊資料庫,['7780']
旅館民宿-觀光資訊資料庫,"['73280', '73281']"
日出日沒時刻,['75380']
日平均海溫-臺灣海域各地測站觀測過去1個月,['126409']
日累積雨量圖資料-大間距日累積雨量圖資料,['30373']
日累積雨量圖資料-小間距日累積雨量圖資料,['30374']
易肇事平交道列表,['19796']
晚間投遞掛號函件申請書,['10519']
景點 -觀光資訊資料庫,['7777']
智慧型運輸系統(ITS)設施納入道路設計規範之研究,['10714']
智慧運輸系統發展政策方向,['42712']
暨所屬機關有限取用資料(含乙類資料及依據各式法規收費之資料)清單,['93997']
暨所屬機關資料盤點表,['30142']
會計月報,"['20279', '21750', '23714', '24487', '25352', '27470', '27762', '28693', '30624', '32215', '33218', '33629', '33718', '35873', '37502', '39351', '41356', '43016', '43327', '77924']"
會計月報(以後),['99039']
月出月沒時刻,['75381']
月台列車警示燈已施作車站,['44081']
月平均-局屬地面測站資料,['9208']
月氣候資料面化圖集,['97094']
服務區變革紀事表,['101552']
服務水準門檻分級(roadlevel_threshold..gz ),['37660']
未來30天縣市滿潮預報資料,['98754']
未繫安全帶、未戴安全帽等(31條)性別統計,['33698']
本島-離島間航線購票網站,['30377']
東部鐵路快捷化計畫-北宜直線鐵路,['96909']
松山機場停車場資料,['37323']
松山機場國內線即時到站航班,['37319']
松山機場國內線即時離站航班,['37317']
松山機場國際線即時到站航班,['37248']
松山機場國際線即時離站航班,['37242']
松山機場最新消息,['37321']
松山機場聯合候補機位資料,['37322']
松山機場近旅客人數趨勢及增減率,['30468']
查閱存證信函副本申請書,['37303']
桃園國際機場停車場剩餘車位,['48120']
桃園國際機場入境客運量年統計,['33015']
桃園國際機場公司重要里程碑,['44131']
桃園國際機場出口貨量年統計,['33010']
桃園國際機場出境客運量年統計,['33016']
桃園國際機場即時航班,['26194']
桃園國際機場定期航班,['7869']
桃園國際機場客運量年統計,['32997']
桃園國際機場客運量日統計,['26227']
桃園國際機場客運量月統計,['8870']
桃園國際機場第1航廈各單位服務電話,['32998']
桃園國際機場第2航廈各單位服務電話,['32999']
桃園國際機場股份有限公司會計月報,['20994']
桃園國際機場股份有限公司決算書主要表,['20987']
桃園國際機場航機架次,['7870']
桃園國際機場航機架次年統計,['33007']
桃園國際機場航空公司及航廈別,['33008']
桃園國際機場航空貨運業者服務電話,['77930']
桃園國際機場貨運量年統計,['32456']
桃園國際機場貨運量月統計,['7871']
桃園國際機場轉口貨量年統計,['33011']
桃園國際機場進出轉口貨運量年統計,['33012']
桃園國際機場進口貨量年統計,['33009']
桃園國際機場郵件進出口貨量年統計,['33014']
桃園國際機場野生動物活動通告,['44159']
桃園機場基本資料,['7873']
桃園機場近旅客人數趨勢及增減率,['29073']
標牌公告,['96623']
機動車輛登記數統計,['14208']
機場4周禁止施放有礙飛航安全物體(含空拍機及遙控無人機)範圍圖資,['45701']
機場巡迴巴士時刻表,['12081']
機場捷運將優先改善列車速度並由3方共同努力早日通車新聞稿,['96944']
機場捷運車站位置座標,['96942']
機場捷運隔音牆設置資料,['96983']
機場電車暫停服務時間表,['12080']
機車、客貨車輛數,['48658']
機車使用狀況調查,['6216']
機車動態能耗與碳排放係數,['33215']
機車所有人性別統計,['33694']
機車行為模式在都市混合車流中之實証分析及模式建立,['10711']
機車駕照性別統計,['33691']
步道,['41653']
歷史活動 -觀光資訊資料庫,['41731']
歷年13處國家風景區全區遊客人次推估表,['8590']
歷年中華民國國民出國年齡統計,['8360']
歷年中華民國國民出國搭乘交通工具及出境港口統計,['8361']
歷年中華民國國民出國目的地人數統計,['7325']
歷年來台旅客來台目的統計,['45512']
歷年來台旅客啟程來台國家統計,['15432']
歷年來台旅客國籍統計,['45537']
歷年來台旅客居住地統計,['15453']
歷年來台旅客年齡統計,['8358']
歷年來台旅客性別統計,['38122']
歷年來台旅客搭乘交通工具及入境港口統計,['8359']
歷年來台旅客統計,['7322']
歷年來台旅客職業統計,['8357']
歷年來台旅客離台後前往國家統計,['15450']
歷年來臺旅客消費及動向調查,['94141']
歷年國人出國按性別分析,['7326']
歷年國人旅遊狀況調查,['94140']
歷年國內主要觀光遊憩據點遊客人數月別統計,['8116']
歷年國內主要遊憩據點遊客人數月別統計,['7327']
歷年旅遊業導遊人員按性別分析,['7329']
歷年辦理之委託研究計畫,['96970']
每日各站點進出站人數,['8792']
每日雨量-局屬地面測站每日雨量資料,['9161']
每日雨量-過去1季每日雨量資料,['48901']
每日雨量-過去局屬地面測站每日雨量資料,['9044']
每月國道百萬車公里統計表,['92146']
每月地震統計,['12730']
每月氣象-局屬地面測站資料,['9207']
每月氣象-過去局屬地面測站每月氣象資料,['23827']
每萬輛機動車輛死亡人數,['43070']
