南區國稅局處務規程,['37300']
南區國稅局處理人民陳情案件滿意度調查報告,['29000']
南區國稅局處理人民陳情案件要點,['29016']
南區國稅局記帳及報稅代理人名冊,['25468']
南區國稅局記帳及報稅代理人專業訓練單位名冊,['25469']
南區國稅局記帳士名冊,['25470']
南區國稅局訴願以上處理情形統計表,['32760']
南區國稅局證券商家數統計表,['28982']
南區國稅局貨物稅申報家數及稅額級距件數統計表,['29017']
南區國稅局贈與稅收件統計表,['25464']
南區國稅局贈與稅核定徵免件數統計表,['35491']
南區國稅局轄區內人口數、工商家數、各項申報統計,['29018']
南區國稅局近年採購案件目錄,['25208']
南區國稅局違章漏稅案件處理情形表,['25293']
南區國稅局遺產稅收件統計表,['25465']
南區國稅局遺產稅核定徵免件數統計表,['32761']
南區國稅局預算案,['12737']
南區國稅局首長與民有約活動作業規定,['29019']
占用地數量分析統計表(分署表),['30575']
占用地數量分析統計表(署總表),['30574']
印刷廠捐補助明細,['33422']
印刷廠政策宣導,['33424']
印刷廠會計月報,"['27748', '43266', '44949', '105184', '117702']"
印刷廠附屬單位決算,['39168']
印刷廠附屬單位預算,['40446']
印刷會費,['33423']
印花稅及娛樂稅之檢討,['11796']
印花稅行業代碼表,['31608']
及所屬機關依申請提供資料清單,['33717']
取消保留盈餘加徵百分之十營所稅及其配套措施之研究,['11791']
受捐贈機關或團體捐贈碼清單,['31868']
受理電傳退押電話,['8277']
台灣地區綠稅稅制設計之研究,['11784']
各主管機關經管作業基金數量價值統計表,['46809']
各單位暨所屬機關新聞稿,['8372']
各地區國稅局服務稅目簡介,['25593']
各年度國產及進口一般料理酒數量表,['25079']
各年度國產及進口其他酒類數量表,['8199']
各年度國產及進口其他釀造酒類數量表,['12235']
各年度國產及進口再製酒類數量表,['8198']
各年度國產及進口啤酒類數量表,['25066']
各年度國產及進口嚼菸數量表,['25075']
各年度國產及進口威士忌數量表,['12237']
各年度國產及進口料理米酒數量表,['25101']
各年度國產及進口料理酒類數量表,['25103']
各年度國產及進口水果釀造酒類數量表,['8196']
各年度國產及進口白蘭地數量表,['8197']
各年度國產及進口穀類釀造酒類數量表,['25073']
各年度國產及進口紙菸數量表,['25065']
各年度國產及進口菸絲數量表,['25068']
各年度國產及進口葡萄酒數量表,['25069']
各年度國產及進口蒸餾酒類數量表,['25071']
各年度國產及進口酒精類數量表,['12236']
各年度國產及進口雪茄數量表,['25067']
各年度國產及進口鼻菸、嚼菸及其他菸品數量表,['12234']
各年度國產及進口鼻菸數量表,['25072']
各年度申請公益彩券回饋金補助計畫審核結果(主辦部分),['11418']
各年度進口菸酒生產國家別數量表,['6942']
各機關經管國有公用不動產被占用暨處理情形統計表,['8323']
各級政府以上公共債務明細表(實際數),['30955']
各級政府以上公共債務明細表(預算數),['30956']
各級政府公共債務統計表,['25300']
各級政府公庫解繳稅款作業程序之改進研究,['11538']
各級政府機關撥用國有土地統計表(分署總表),['30564']
各級政府機關撥用國有土地統計表(各單位分表),['30565']
各級政府機關撥用國有土地統計表(各縣市分表),['30566']
各級政府機關撥用國有土地統計表(署總表),['30559']
各級政府機關撥用國有非公用土地年度統計表(分署表),['30567']
各級政府歲入歲出淨額、餘絀及融資,['6739']
各級政府歲入淨額,['8469']
各級政府歲出淨額-按分,['8470']
各級政府舉債額度及債務未償餘額情形表,['30954']
各關辦理旅客或隨交通工具服務之人員攜帶外幣入出境申報年度總件數,['24155']
各項國稅多元繳稅方式統計表,['42328']
各項租稅稅基侵蝕之全面檢討,['11797']
各類所得扣繳率標準,['24754']
