國家教育研究院-地球科學學術名詞,['15248']
國家教育研究院-地理學名詞-兩岸中小學教科書學術名詞,['15252']
國家教育研究院-地理學名詞-兩岸地理學學術名詞,['15253']
國家教育研究院-地理學名詞-高中含以下地理學學術名詞,['15254']
國家教育研究院-地理學學術名詞,['15251']
國家教育研究院-地質學學術名詞,['15255']
國家教育研究院-外國地名譯名,['15211']
國家教育研究院-天文學學術名詞,['15166']
國家教育研究院-實驗動物及比較醫學學術名詞,['15420']
國家教育研究院-工業工程學術名詞,['14839']
國家教育研究院-工程圖學學術名詞,['14838']
國家教育研究院-市場學學術名詞,['15212']
國家教育研究院-心理學學術名詞,['15167']
國家教育研究院-教育學名詞-新編學術名詞,['15369']
國家教育研究院-教育學名詞-英國教育學學術名詞,['15368']
國家教育研究院-教育學學術名詞,['15367']
國家教育研究院-數學名詞-兩岸中小學教科書學術名詞,['15444']
國家教育研究院-數學名詞-兩岸數學學術名詞,['15445']
國家教育研究院-數學名詞-高中含以下數學學術名詞,['15446']
國家教育研究院-數學學術名詞,['15443']
國家教育研究院-新聞傳播學學術名詞,['15403']
國家教育研究院-會計學學術名詞,['15404']
國家教育研究院-材料科學名詞-兩岸材料科學學術名詞,['15263']
國家教育研究院-材料科學名詞-能源材料學術名詞,['15265']
國家教育研究院-材料科學名詞-金屬材料學術名詞,['15264']
國家教育研究院-材料科學名詞-陶瓷材料學術名詞,['15267']
國家教育研究院-材料科學名詞-高分子材料學術名詞,['15266']
國家教育研究院-林學學術名詞,['15315']
國家教育研究院-核能學術名詞,['15337']
國家教育研究院-機械名詞-兩岸機械學術名詞,['15448']
國家教育研究院-機械工程學術名詞,['15447']
國家教育研究院-機構與機器原理學術名詞,['15449']
國家教育研究院-比較解剖學學術名詞,['15209']
國家教育研究院-氣象學學術名詞,['15338']
國家教育研究院-水利工程學學術名詞,['15210']
國家教育研究院-海事學術名詞,['15339']
國家教育研究院-海洋地質學學術名詞,['15340']
國家教育研究院-海洋科學名詞-兩岸海洋科學學術名詞,['15342']
國家教育研究院-海洋科學學術名詞,['15341']
國家教育研究院-測量學學術名詞,['15401']
國家教育研究院-物理化學儀器設備學術名詞,['15316']
國家教育研究院-物理學名詞-兩岸中小學教科書學術名詞,['15318']
國家教育研究院-物理學名詞-物理相關科學家,['15319']
國家教育研究院-物理學名詞-高中含以下物理學學術名詞,['15320']
國家教育研究院-物理學學術名詞,['15317']
國家教育研究院-獸醫學學術名詞,['15461']
國家教育研究院-生命科學名詞-兩岸中小學教科書名詞,['15214']
國家教育研究院-生命科學名詞-科學家譯名,['15216']
國家教育研究院-生命科學名詞-高中(含)以下生命科學學術名詞,['15215']
國家教育研究院-生命科學學術名詞,['15213']
國家教育研究院-生態學名詞-兩岸生態學學術名詞,['15247']
國家教育研究院-生態學學術名詞,['15246']
國家教育研究院-生物學名詞-植物學學術名詞,['15217']
國家教育研究院-生產自動化學術名詞,['15218']
國家教育研究院-畜牧學學術名詞,['15362']
國家教育研究院-病理學學術名詞,['15363']
國家教育研究院-發生學學術名詞,['15402']
國家教育研究院-礦冶工程學術名詞,['15463']
國家教育研究院-礦物學學術名詞,['15464']
國家教育研究院-社會學學術名詞,['15321']
國家教育研究院-科學教育學術名詞,['15323']
國家教育研究院-管理學學術名詞,['15440']
國家教育研究院-精神病理學學術名詞,['15441']
國家教育研究院-紡織科技學術名詞,['15364']
國家教育研究院-細菌免疫學學術名詞,['15371']
國家教育研究院-統計學學術名詞,['15370']
國家教育研究院-經濟學學術名詞,['15405']
國家教育研究院-肥料學學術名詞,['15322']
國家教育研究院-舞蹈學術名詞,['15442']
國家教育研究院-航空太空學術名詞,['15365']
國家教育研究院-藥學學術名詞,['15462']
國家教育研究院-行政學學術名詞,['15262']
國家教育研究院-計量學學術名詞,['15333']
國家教育研究院-資訊名詞-兩岸中小學教科書學術名詞,['15406']
國家教育研究院-資訊名詞-高中含以下資訊學術名詞,['15407']
國家教育研究院-農業推廣學學術名詞,['15411']
國家教育研究院-農業機械學術名詞,['15412']
國家教育研究院-通訊工程學術名詞,['15398']
國家教育研究院-造船工程學術名詞,['15399']
國家教育研究院-醫學學術名詞,['15460']
國家教育研究院-鑄造學學術名詞,['15465']
國家教育研究院-電力學名詞-兩岸電力學學術名詞,['15414']
國家教育研究院-電力工程學術名詞,['15413']
國家教育研究院-電子工程學術名詞,['15415']
國家教育研究院-電子計算機學術名詞,['15416']
國家教育研究院-電工學名詞-兩岸電工學學術名詞,['15417']
國家教育研究院-電機工程學術名詞,['15418']
國家教育研究院-音樂名詞-音樂家,['15335']
國家教育研究院-音樂學術名詞,['15334']
國家教育研究院-食品科技學術名詞,['15336']
國家教育研究院-體育學術名詞,['15466']
國家教育研究院-魚類學術名詞,['15400']
國家教育研究院全國中小學題庫網,['29027']
國家教育研究院單位決算,"['18291', '44948', '75797', '98915']"
國家教育研究院審定決算,['34209']
國家教育研究院專案研究報告,['6316']
國家教育研究院會計月報,"['18448', '27857', '43247', '76307', '99211', '103866', '119241']"
國家教育研究院法定預算,"['12167', '33841', '40043', '77936']"
國家獎座及國學獎得獎人相關資料,['43272']
國小學生體位趨勢,['6284']
國民中學原住民學生及畢業生人數,['33509']
國民中學名錄,['6088']
國民中學校別資料,['6239']
國民中學概況,"['31439', '31440']"
國民中小學原住民學生及畢業生人數,['33510']
國民中小學教科書審定通過表,['6315']
國民中小學補習學校概況,"['31441', '31442']"
國民及學前教育署 單位預算案,"['52770', '90471', '107333']"
國民及學前教育署107單位決算,['101093']
國民及學前教育署中央政府前瞻基礎建設特別決算審訂本,['107096']
國民及學前教育署中央政府前瞻基礎建設計畫特別決算,['101096']
國民及學前教育署中央政府前瞻基礎建設計畫特別決算(以前年度部分),['118003']
國民及學前教育署中央政府前瞻基礎建設計畫特別預算月報,"['99398', '120290']"
國民及學前教育署中央政府前瞻建設計畫特別預算月報,"['57040', '76715']"
國民及學前教育署中央政府嚴重特殊傳染性肺炎防治及紓困振興特別預算分會計月報,['120291']
國民及學前教育署單位決算,"['18562', '27186', '45755', '79703', '118004']"
國民及學前教育署單位決算(審定版),['54387']
國民及學前教育署單位決算審訂本,['107094']
國民及學前教育署單位決算審訂版,['89896']
國民及學前教育署單位預算,"['12137', '43970', '77045', '98480', '118049']"
國民及學前教育署對民間團體及個人補(捐)助項目執行情形明細表,['120355']
國民及學前教育署對民間團體及個人補(捐)助項目執行情形表,"['48670', '79278', '101091']"
國民及學前教育署政策宣導廣告執行情形,['12012']
國民及學前教育署會計月報,"['18547', '27785', '43506', '76712', '99396', '120729']"
國民及學前教育署月報,['12120']
國民及學前教育署決算,['12119']
國民及學前教育署法定預算,"['12117', '21341']"
國民及學前教育署補捐助款,"['12114', '30129', '44967']"
國民及學前教育署補捐助款資料,"['45052', '76927', '99403', '117972']"
國民及學前教育署預算案,"['36215', '129849']"
國民小學原住民學生及畢業生人數,['33511']
國民小學名錄,['6087']
國民小學校別資料,['6240']
國民小學概況,"['31443', '31444']"
國民小學辦理課後照顧班學校清單,['24978']
國民體能指導員授證數,['41387']
國立公共資訊圖書館公共藝術設置,['99671']
國立公共資訊圖書館公廁設置情形明細表,['99766']
國立公共資訊圖書館前瞻基礎建設計畫,['87981']
國立公共資訊圖書館各場地開放使用時間及收費基準,['23959']
國立公共資訊圖書館單位決算,['18873']
國立公共資訊圖書館報紙訂閱一覽表,['26375']
國立公共資訊圖書館年報,['98063']
國立公共資訊圖書館年度預算案,['35542']
國立公共資訊圖書館數位典藏網-日文舊籍目錄,['90451']
國立公共資訊圖書館數位典藏資源加值文創數位教材,['26377']
國立公共資訊圖書館數位資源一覽表,['23967']
國立公共資訊圖書館會計報告,['21382']
國立公共資訊圖書館期刊訂閱一覽表,['6454']
國立公共資訊圖書館桌遊借閱清單,['99670']
國立公共資訊圖書館民眾滿意度暨服務品質調查報告,['31665']
國立公共資訊圖書館法定預算,['12323']
國立公共資訊圖書館流通服務統計,['26373']
國立公共資訊圖書館獎助博碩士論文,['6455']
國立公共資訊圖書館異業結盟清單,['99699']
國立公共資訊圖書館研究報告,['23946']
國立公共資訊圖書館聽視障資訊中心館藏目錄清單,['6456']
國立公共資訊圖書館自修座位數量,['99698']
國立公共資訊圖書館補捐助經費執行情形明細表,['43279']
國立公共資訊圖書館視障輔具設備清單,['99534']
國立公共資訊圖書館討論小間空間數量,['99668']
國立台灣科學教育館預算案,['12510']
國立大專校院校務基金及附設醫院作業基金附屬單位決算,['91635']
國立大專校院校務基金及附設醫院作業基金附屬單位預算,['91636']
國立大專校院校務基金及附設醫院作業基金附屬單位預算會計月報,"['103833', '114640']"
國立教育廣播電臺公告事項,['6321']
國立教育廣播電臺大事紀要,['6322']
國立教育廣播電臺審定決算書表,['19990']
國立教育廣播電臺支付補捐助明細,['44754']
國立教育廣播電臺文教新聞,['6323']
國立教育廣播電臺會計月報表,['19994']
國立教育廣播電臺法定預算,['12662']
國立教育廣播電臺節目主持人介紹,['26187']
國立教育廣播電臺節目快訊,['6324']
國立教育廣播電臺節目紀要,['26188']
國立教育廣播電臺節目總覽,['26186']
國立教育廣播電臺節目表,['26185']
國立教育廣播電臺節目隨選,['26184']
國立教育廣播電臺預算案,['12660']
國立海洋生物博物館參觀咨詢Q&A,['10547']
國立海洋生物博物館展示區平面圖,['10538']
國立海洋生物博物館展館資訊,['9693']
國立海洋生物博物館新南向政策,['77167']
國立海洋生物博物館新聞報導,['28669']
國立海洋生物博物館服務資訊,['9695']
國立海洋生物博物館決算書表,"['18854', '28687']"
國立海洋生物博物館決算總說明,"['90324', '90325', '107091', '118258']"
國立海洋生物博物館活動資訊,['9694']
國立海洋生物博物館消息公告,['28670']
國立海洋生物博物館無障礙參觀動線,['9696']
國立海洋生物博物館特展介紹,['90320']
國立海洋生物博物館科教活動,['48682']
國立海洋生物博物館訊息公告,['9692']
國立海洋生物博物館預算,"['12584', '18847', '21645', '35449', '101626', '101627', '117674']"
國立海洋科技博物館 中文圖書書目資料庫,['26916']
國立海洋科技博物館 日文圖書書目資料庫,['26917']
國立海洋科技博物館 英文圖書書目資料庫,['26918']
國立海洋科技博物館 蒐藏品無脊椎動物標本資料庫,['26919']
國立海洋科技博物館 蒐藏品脊椎動物標本資料庫,['26920']
國立海洋科技博物館 視聽多媒體公播版資料庫,['26921']
國立海洋科技博物館 視聽多媒體家用版資料庫,['26922']
國立海洋科技博物館場地使用申請作業要點,['34153']
國立海洋科技博物館戶外場地管理要點,['34151']
國立海洋科技博物館法定預算,"['12626', '21103', '40124']"
國立海洋科技博物館潮境公園石花菜展示示範區要點,['34152']
國立海洋科技博物館辦理各類媒體政策宣導報告,['76643']
國立海洋科技博物館雙語詞彙對照表,['76651']
國立海洋科技博物館預算,['43624']
國立社教機構作業基金(所屬機構作業基金)附屬單位決算,"['99425', '118372']"
國立社教機構作業基金會計月報,"['27765', '77232']"
國立社教機構作業基金決算,['28031']
國立社教機構作業基金決算主要表,['18455']
國立社教機構作業基金附屬單位決算,"['43601', '76974']"
國立社教機構作業基金附屬單位法定預算,"['20692', '76542', '113448']"
國立社教機構作業基金附屬單位預算(法定預算),['42866']
國立社教機構作業基金附屬單位預算案,"['35356', '55239', '90730']"
國立科學工藝博物館公共藝術品清單,['41122']
國立科學工藝博物館公共設施位置資訊,['7176']
國立科學工藝博物館典藏品清單,['24408']
國立科學工藝博物館出版品資料集,['9669']
國立科學工藝博物館各樓層常設展示廳內容,['27248']
國立科學工藝博物館場地租借情況資料集,['9671']
國立科學工藝博物館大事紀,['10355']
國立科學工藝博物館大銀幕電影資訊,['7178']
國立科學工藝博物館展示公共空間使用資料集,['9672']
國立科學工藝博物館展示廳學習單,['27262']
國立科學工藝博物館展示廳資訊,['7177']
國立科學工藝博物館年報,['10428']
國立科學工藝博物館建議參觀動線,['41126']
國立科學工藝博物館接受委辦及補助收入資料,['10565']
國立科學工藝博物館推廣教育活動訊息,['6472']
國立科學工藝博物館政策宣導資訊公開資料,['10516']
國立科學工藝博物館會計月報主要表,['19814']
國立科學工藝博物館歷年展覽資訊,['27267']
國立科學工藝博物館決算書,['77756']
國立科學工藝博物館決算案,"['19812', '28369', '43630', '100140', '118082']"
國立科學工藝博物館法定預算,['128729']
國立科學工藝博物館法定預算案,['98061']
國立科學工藝博物館法規命令與行政規則,['10563']
國立科學工藝博物館研究人員清單,['41127']
國立科學工藝博物館研討會資訊,['9670']
國立科學工藝博物館科工美食地圖,['41128']
國立科學工藝博物館科教校外教學,['27268']
國立科學工藝博物館遺失物資訊,['6457']
國立科學工藝博物館電子化博物館清單,['41129']
國立科學工藝博物館電子報清單,['41234']
國立科學工藝博物館預算案,"['12653', '21166', '37269', '77754', '90864', '117655']"
國立科學工藝博物館館藏圖書書目,['9668']
國立自然科學博物館劇場影片放映時間表,['7175']
國立自然科學博物館博物館學季刊,['22325']
國立自然科學博物館參觀人數統計,['27275']
國立自然科學博物館委辦及補助計畫情形,['39391']
國立自然科學博物館學習資源,['6453']
國立自然科學博物館展示資源,['6423']
國立自然科學博物館恐龍卡統計資料,['30555']
國立自然科學博物館攝影展作品,['39359']
國立自然科學博物館數位典藏多媒體庫,['26797']
國立自然科學博物館數位典藏學習資源庫,['26799']
國立自然科學博物館數位典藏標本,['26792']
國立自然科學博物館數位典藏知識庫,['26790']
國立自然科學博物館暨所屬3個園區活動,['7500']
國立自然科學博物館最新消息,['6424']
國立自然科學博物館會計月報,"['18815', '27742']"
國立自然科學博物館決算書表,"['18739', '31397', '52569', '79221', '107083', '118269']"
國立自然科學博物館法定預算,"['24879', '80960']"
國立自然科學博物館特展,['7499']
國立自然科學博物館科學學習中心教案,['39360']
國立自然科學博物館自然科學專書,['22333']
國立自然科學博物館蒐藏與研究期刊,['22332']
國立自然科學博物館遺失物公告,['30483']
國立自然科學博物館電子報,['26166']
國立自然科學博物館預算,"['91906', '99126']"
國立自然科學博物館預算案,"['12597', '24880', '39394']"
國立自然科學博物館館訊,['27994']
國立臺灣圖書館入口網站瀏覽統計,['40302']
國立臺灣圖書館出版品一覽表,['7501']
國立臺灣圖書館委託研究成果報告一覽,['40349']
國立臺灣圖書館展覽、主題書展、影片欣賞活動訊息,['40300']
國立臺灣圖書館會計月報,"['18759', '27705', '43196', '117376']"
國立臺灣圖書館服務統計,['26406']
國立臺灣圖書館服務量統計,['26407']
國立臺灣圖書館業務統計,['7548']
國立臺灣圖書館機關檔案電子目錄,['31056']
國立臺灣圖書館決算,"['18758', '27690', '43226', '76030', '98590', '116104']"
國立臺灣圖書館法定預算,"['18757', '24055', '33812', '55770', '90824', '97619', '104919']"
國立臺灣圖書館無線網路驗證系統,['40323']
國立臺灣圖書館特藏資料複製規定,['27288']
國立臺灣圖書館終身學習研習班課程,['7618']
國立臺灣圖書館自編預算,['127391']
國立臺灣圖書館臺灣學系列講座資料集,['7547']
國立臺灣圖書館視障/身心障礙研究優良學位論文歷年獎助名單與得獎論文一覽,['40351']
國立臺灣圖書館視障資料中心要點,['44132']
國立臺灣圖書館視障資料中心電影聽賞(口述電影)活動一覽表,['52792']
國立臺灣圖書館講座、與作家有約活動訊息,['40301']
國立臺灣圖書館雙和藝廊年度展覽檔期一覽表,['39056']
國立臺灣圖書館館藏日治時期期刊數位化清單,['7546']
國立臺灣圖書館館藏統計,['26408']
國立臺灣科學教育館 中小學科學展覽會優勝作品,['7552']
國立臺灣科學教育館 大眾科學講座,['7553']
國立臺灣科學教育館 決算,['99113']
國立臺灣科學教育館 科學研習月刊,['7550']
國立臺灣科學教育館 臺灣國際科展優勝作品,['7551']
國立臺灣科學教育館主題式學習單,['9792']
國立臺灣科學教育館場地租用資訊,['9793']
國立臺灣科學教育館最新消息,['7549']
國立臺灣科學教育館會計月報,['18754']
國立臺灣科學教育館決算,"['18279', '28212', '43529', '76673', '118358']"
國立臺灣科學教育館法定預算,"['23094', '31857', '35489', '118412', '118413']"
國立臺灣科學教育館預算,['118414']
國立臺灣科學教育館預算案,['88729']
國立臺灣藝術教育館展覽活動,['6680']
國立臺灣藝術教育館最新消息,['6678']
國立臺灣藝術教育館研習活動,['6729']
國立臺灣藝術教育館競賽活動,['6681']
國立臺灣藝術教育館臺灣藝術教育網徵選公告,['9171']
國立臺灣藝術教育館臺灣藝術教育網招生訊息,['9175']
國立臺灣藝術教育館臺灣藝術教育網藝教消息活動,['9162']
國立臺灣藝術教育館臺灣藝術教育老師進修,['9314']
國立臺灣藝術教育館藝拍即合最新消息,['23985']
國立臺灣藝術教育館表演活動,['6679']
國立高級中等學校校務基金會計月報,['21338']
