103度中央政府總決算歲入歲出簡明比較分析表,['23850']
家庭收支調查-家庭組織型態別平均每戶可支配所得,['45126']
家庭收支調查-家庭組織型態別平均每戶所得收入總計,['56525']
家庭收支調查-家庭組織型態別平均每戶所得總額,['54825']
家庭收支調查-家庭組織型態別平均每戶消費支出,['76265']
家庭收支調查-家庭組織型態別平均每戶經常性支出,['79208']
家庭收支調查-家庭組織型態別平均每戶非消費支出,['79207']
家庭收支調查-就業者平均每人基本所得,['22234']
家庭收支調查-平均每戶可支配所得,['9423']
家庭收支調查-平均每戶可支配所得及消費支出依可支配所得,"['101340', '108265', '108266']"
家庭收支調查-年中戶數與平均每戶人數、就業人數,['24136']
家庭收支調查-性別統計指標-單親戶長人數,['130026']
家庭收支調查-性別統計指標-家戶狀況,['27963']
家庭收支調查-性別統計指標-戶數與結構,['91919']
家庭收支調查-性別統計指標-經濟戶長人數,['45125']
家庭收支調查-戶內人數別平均每戶儲蓄,['24139']
家庭收支調查-戶內人數別平均每戶受僱人員報酬,['24731']
家庭收支調查-戶內人數別平均每戶可支配所得,['24138']
家庭收支調查-戶內人數別平均每戶所得收入總計,['24141']
家庭收支調查-戶內人數別平均每戶所得總額,['24140']
家庭收支調查-戶內人數別平均每戶消費支出,['24733']
家庭收支調查-戶內人數別平均每戶經常性支出,['24735']
家庭收支調查-戶內人數別平均每戶非消費支出,['24734']
家庭收支調查-戶數5等分位之平均每戶儲蓄,['93950']
家庭收支調查-戶數5等分位之平均每戶受僱人員報酬,['94754']
家庭收支調查-戶數5等分位之平均每戶可支配所得,['91925']
家庭收支調查-戶數5等分位之平均每戶所得收入總計,['94752']
家庭收支調查-戶數5等分位之平均每戶所得總額,['93951']
家庭收支調查-戶數5等分位之平均每戶消費支出,['98834']
家庭收支調查-戶數5等分位之平均每戶經常性支出,['101338']
家庭收支調查-戶數5等分位之平均每戶非消費支出,['98835']
家庭收支調查-戶數5等分位組之平均每戶人口數,['9424']
家庭收支調查-戶數5等分位組之平均每戶可支配所得、消費支出及儲蓄,['6565']
家庭收支調查-戶數5等分位組之平均每戶就業人數,['9425']
家庭收支調查-戶數5等分位組之所得分配比與所得差距,['6566']
家庭收支調查-戶數十等分位組分界點之可支配所得,['9422']
家庭收支調查-所得收入者5等分位組之可支配所得分配比與所得差距,['11574']
家庭收支調查-所得收入者之基本所得及人數,['22221']
家庭收支調查-所得收入者人數與按年齡組別及性別之分配,['22230']
家庭收支調查-所得收入者十等分位組分界點之可支配所得,['11573']
家庭收支調查-所得收入者各縣市別平均每人受僱人員報酬,['119936']
家庭收支調查-所得收入者各縣市別平均每人可支配所得,['117929']
家庭收支調查-所得收入者各縣市別平均每人所得收入總計,['117930']
家庭收支調查-所得收入者各縣市別平均每人非消費支出,['119937']
家庭收支調查-所得收入者平均每人可支配所得及中位數所得,"['14423', '14427', '14435']"
家庭收支調查-所得收入者職業別平均每人可支配所得,['130027']
家庭收支調查-所得總額,['9421']
家庭收支調查-所得總額與可支配所得,['24137']
家庭收支調查-政府對家庭移轉收支對所得分配之影響,['6567']
家庭收支調查-統計資料背景說明,['10901']
家庭收支調查-經濟戶長職業別平均每戶儲蓄,['30900']
家庭收支調查-經濟戶長職業別平均每戶受僱人員報酬,['37444']
家庭收支調查-經濟戶長職業別平均每戶可支配所得,['30901']
家庭收支調查-經濟戶長職業別平均每戶所得收入總計,['36370']
家庭收支調查-經濟戶長職業別平均每戶所得總額,['36369']
家庭收支調查-經濟戶長職業別平均每戶消費支出,['37450']
家庭收支調查-經濟戶長職業別平均每戶經常性支出,['43463']
家庭收支調查-經濟戶長職業別平均每戶非消費支出,['43462']
家庭收支調查-農家平均每戶所得總額,['22236']
家庭收支調查-農家與非農家平均每戶及每人可支配所得,['22235']
家庭收支調查-農家與非農家平均每戶可支配所得、所得總額及儲蓄,['24736']
家庭收支調查-農家與非農家平均每戶所得收入總計及受僱人員報酬,['24737']
家庭收支調查-農家與非農家平均每戶消費支出、非消費支出及經常性支出,['27962']
專業、科學及技術服務業廠商空缺員工僱用條件概況,['37977']
尋職者之找尋工作方法,"['40285', '40286']"
尋職者希望找尋工作之時間性質,['40287']
就業、失業統計,['10902']
就業者之主要工作每週工作時數,"['37966', '37967', '37968']"
就業者之平均每週主要工作時數,['37969']
就業者之從業身分,['34115']
就業者之教育程度,['37964']
就業者之教育程度與年齡,"['34112', '36787', '36788', '36789']"
就業者之每週工作時數,['37965']
就業者之職業,"['34114', '37963']"
就業者之行業,['34113']
屏東縣住宅單位數,['24797']
屏東縣住戶數、常住人口數及平均每戶人口數,['24773']
屏東縣工商及服務業場所單位年底從業員工人數及全年薪資,['15746']
屏東縣工商及服務業場所單位經營概況,['15722']
屏東縣常住人口之年齡結構(不含外籍勞工),['20719']
屏東縣常住人口之性比例(不含外籍勞工),['18535']
屏東縣常住人口數及人口密度,['18513']
屏東縣１５歲以上常住人口之婚姻狀況,['22403']
屏東縣１５歲以上常住人口之教育程度,['20742']
屏東縣１５歲以上民間常住人口之工作狀況,['22431']
屏東縣５歲以上常住人口之遷徙情形,['24258']
屏東縣６歲以上常住人口之工作地及就學地狀況,['24296']
工商及服務業企業單位國外分支單位概況,['8843']
工商及服務業企業單位對外投資概況,['9317']
工商及服務業企業單位年底使用土地面積,['14354']
工商及服務業企業單位年底從業員工人數及全年薪資,['8395']
工商及服務業企業單位數,['8505']
工商及服務業企業單位營運數位化概況,['15705']
工商及服務業企業單位經營效率,['8504']
工商及服務業企業單位經營概況,['8232']
工商及服務業企業單位跨國服務或勞務交易、外資直接投資及跨國人員往來概況,['8842']
工商及服務業場所單位年底從業員工人數及全年薪資,['9494']
工商及服務業場所單位數,['9495']
工商及服務業場所單位經營概況,['9318']
工商及服務業普查,['10905']
工業及服務業企業單位各項生產力及經營效率,['111608']
工業及服務業企業單位實際運用資產淨額,"['111602', '111603', '111604']"
工業及服務業企業單位年底從業員工人數及全年薪資,"['111599', '111600', '111601']"
工業及服務業企業單位數,"['111609', '111610', '111611', '111612', '111650']"
工業及服務業企業單位無形投入及專業技術交易概況,['111652']
工業及服務業企業單位營運數位化及創新活動概況,['111651']
工業及服務業企業單位環保支出、自有品牌及使用勞動派遣、經營派遣業務概況,['111653']
工業及服務業企業單位生產淨額,"['111605', '111606', '111607']"
工業及服務業企業單位經營概況,"['111594', '111595', '111596', '111597', '111598']"
工業及服務業企業單位跨國服務或勞務交易、跨國人員往來及外資直接投資概況,['111654']
工業及服務業受僱員工退出人次,['33455']
工業及服務業受僱員工進入人次,['33448']
工業及服務業場所單位年底從業員工人數及全年薪資,"['122286', '122287', '122288']"
工業及服務業場所單位數,"['122289', '122290', '122291', '122292', '122293', '122294', '122295']"
工業及服務業場所單位經營概況,"['122282', '122283', '122284', '122285']"
工業及服務業廠商僱用,['34124']
工業及服務業廠商短缺員工僱用條件概況,['34127']
工業及服務業廠商短缺員工原因,['34126']
工業及服務業廠商空缺員工持續時間,['34122']
工業及服務業空缺員工平均持續時間,['34121']
工業廠商短缺員工僱用條件概況,['36790']
工業廢棄物排放帳,['7436']
常住人口之年齡結構(不含外籍勞工),['24240']
常住人口之性比例(不含外籍勞工),['24239']
常住人口數及人口密度,['24238']
年齡組別勞動力參與率,['33445']
年齡組別失業率,['34117']
彰化縣住宅單位數,['24793']
彰化縣住戶數、常住人口數及平均每戶人口數,['24769']
彰化縣工商及服務業場所單位年底從業員工人數及全年薪資,['15739']
彰化縣工商及服務業場所單位經營概況,['15715']
