資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
科技部專題研究計畫相關函釋資料集清單,7611,條列科技部通函各受補助機構有關補助專題研究計畫相關規定之解釋函清冊。,標題;連結網址,科技部
科技部主管財團法人資訊,7612,科技部主管財團法人相關資訊,標題;日期;連結網址,科技部
科技部預算書清冊,7613,科技部歷年單位預算、科發基金預算及主管預算。,標題;日期;連結網址,科技部
全國企業部門研發經費_依我國行業別區分統計資料,7619,1.為便於瞭解及掌握我國科技研究發展狀況，進而建立科技指標，並與他國作客觀比較作為國家制定科技發展政策之參考，科技部每年定期辦理「全國研發狀況調查」。本資料集為「全國研發狀況調查」之統計結果之一。 2.“..”係指無數值。 3.“0”係指不及一單位。,,科技部
南部科學園區南科簡訊,7714,南部科學園區月刊雜誌,期數;類別;簡述;連結網址,科技部南部科學園區管理局
企業部門研發經費_依企業員工數分層統計資料,7715,1.為便於瞭解及掌握我國科技研究發展狀況，進而建立科技指標，並與他國作客觀比較作為國家制定科技發展政策之參考，科技部每年定期辦理「全國研發狀況調查」。本資料集為「全國研發狀況調查」之統計結果之一。 2.“..”係指無數值。 3.“0”係指不及一單位。,,科技部
科技部補助全國性學術團體辦理學術推廣業務統計資料集,7735,科技部補助全國性學術團體辦理學術推廣業務統計資料，包括核定件數及核定經費,申請年度;學術司室;核定件數;核定經費,科技部
科教國合司國際合作業務各類補助申請時程,7764,提供國際合作處各類補助申請時程資料,,科技部
科技部行政規則清單,7765,科技部主管行政規則清單,行政規則名稱;最新異動日期;連結網址,科技部
科技部專題研究計畫相關表格資料集清單,7767,條列科技部補助專題研究計畫有關申請、執行、經費結案及報告撰寫之各類表格清冊。,標題;連結網址,科技部
科技部傑出技術移轉貢獻獎資訊,7768,科技部辦理傑出技術移轉貢獻獎統計資料。,,科技部
科技部專題研究計畫Q&A問答資料集清單,7783,條列科技部專題研究計畫有關計畫申請資格、補助項目支用原則問題、經費報銷實務運用、助理人員問題、彈性支用額度運用原則等Q&A問答清冊。,標題;日期;分類;連結網址,科技部
新竹科學園區已入區登記廠商資料,7935,新竹科學園區廠商名錄，包括新竹科學園區、竹南科學園區、龍潭科學園區、銅鑼科學園區、宜蘭科學園區等已入區登記廠商資料（已辦妥(分)公司登記或工廠登記且未辦理解散登記、未出區或未廢止投資計畫之廠商）。,廠商代碼;基地別;園區廠商名稱;地址;統一編號;事業類別,科技部新竹科學園區管理局
中部科學園區園區電影活動資料統計,7936,中部科學園區園區電影活動統計資料。,subject;content;post_date;end_date;show_date;hide_date;URL,科技部中部科學園區管理局
中部科學園區最新公告月資料統計,7937,中部科學園區最新公告月統計資料。,subject;content;post_date;end_date;show_date;hide_date;URL,科技部中部科學園區管理局
中部科學園區公共場地租借月報,7938,中部科學園區公共場地租借月報資料。,案件編號;場地編號;場地名稱;借用單位;借用日期;借用時間;活動名稱;有無意願分享場地,科技部中部科學園區管理局
中部科學園區核准投資金額月報,7939,中部科學園區每月核准投資金額資料。,Month;投資額(億);,科技部中部科學園區管理局
中部科學園區職業安全訓練課程暨會議月資料統計,7940,中部科學園區職業安全訓練課程暨會議月統計資料。,C_NAME;c_cont;c_ssdate;c_sedate;c_sdate;c_edate;c_stime;c_etime;c_pmax;codename,科技部中部科學園區管理局
中部科學園區動產擔保交易登記月報,7941,登記機關代碼、證明書編號、登記核准日期、變更文號、變更核准日期、註銷文號、註銷日期、案件類別、債務人名稱、債務人統編、債務人住居所或營業所、債務人代理人名稱、債務人代理人統編、擔保權人名稱、擔保權人統編、擔保權人住居所或營業所、擔保權人代理人名稱、擔保權人代理人統編、擔保權人備註、契約啟始日期、契約終止日期、標的物種類、標的物所有人名稱、標的物所有人統編、標的物所在地、標的物總價格、標的物價格幣別、擔保債權金額、擔保債權金額幣別、最高限額註記、動產明細項數、浮動擔保註記,,科技部中部科學園區管理局
中部科學園區參訪統計月報,7942,中部科學園區內參訪統計資料,,科技部中部科學園區管理局
