資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
102年中華民國四年期國防總檢討,13255,依據「國防部」第31條相關規定，公布102年「四年期國防總檢討」報告，旨在向立法院及國人說明，國防戰略與建軍方向，並藉以檢討與策勵未來，有效提升國防戰力,,國防部
國防部立院專案報告,13261,國防部部長向外交國防委員會業務報告,會期;目錄;內容,國防部
身心障礙或重大傷病與體位區分標準免役體位判等對照表,13286,體位區分標準、身心障礙者鑑定作業辦法、全民健康保險對象免自行負擔費用辦法。,,國防部
中正預校學生員額統計表,13287,中正預校近年各年軍種錄取員額人數統計表,年班/<br>軍種;100;101;102;103;104;105;106,國防部
中正預校教師學歷統計表(101-103年),13288,中正預校文職教師學歷統計資料一覧表,區別;101學年度;102學年度;103學年度,國防部
國防部施政績效報告,13382,國防部施政績效報告,,國防部
國防部廉政工作會報,13384,本部廉政工作會報設置要點及案例宣導,xmlData,國防部
國軍人員財產申報專區,13385,國防部財產申報之執行情形及相關宣導事項,,國防部
東海和平倡議與南海主權維護學術研討會論文集目錄,13386,提供東海和平倡議與南海主權維護學術研討會論文集目錄,,國防部
國防部廉政倫理須知,15858,法規、處理程序及表格,xmlData,國防部
海軍學術雙月刊,15951,本刊為海軍司令部發行之綜合性刊物，廣收海軍幹部及學界優秀軍事學術論文，配合每期主題於雙數月出刊，並於本部全球資訊網共檔案下載。,xmlData,國防部
海軍軍官季刊,15960,海軍軍官學校所出版之出版品，內容為海軍官校師生，海軍現役、退役人員所撰寫之學術、軍事及人文相關文章，每季出刊。,,國防部
大氣海洋研究,15962,99-100年度各國防科技學術研究學合計畫,,國防部
航船布告,15963,告知海域相關情形，包括軍事操演、維修工程等，以提醒民眾注意安全。,,國防部
大氣海洋環境資料釋出要點,15964,為協助國家整體經濟建設、科學研究及學術發展，並符合相關保密規定，將海軍大氣海洋局所蒐集之大氣海洋環境資料釋出供產官學界使用。,,國防部
中華民國燈表,15965,係航海圖書，列為航海用燈光之位置、燭光數、燈之性質等項資料。並附霧號詳輔助對燈光之識別，亦包括有助於航海人員之其他資料，作為確認航行時位置。,,國防部
水道圖書目錄,15966,提供大氣海洋局刊行海圖圖幅索引，內含圖名、圖號、比例尺、刊行日期及最新版日期等資訊，為使用用者購置圖資之參據。,,國防部
海圖圖例,15967,依據國際海道測量組織海圖規格並參考其海圖符號及縮寫編訂，提供大氣海洋局海圖上各式符號或縮寫之標準化意義。,,國防部
航行指南,15968,提供海岸地貌、助航標誌、航路狀況、潮流、氣象、島嶼礁石、淺灘險處、沉航障礙、港灣設施及建議航法等資料，可與海圖互為印證相輔為用，俾利海上航行及港灣錨泊，獲致最大航行安全為目的。,,國防部
三軍大學至國防大學歷任校長,15973,三軍大學至國防大學歷任校長任期表,,國防部
國軍所屬軍用機場航空噪音改善經費執行情形,20483,本資料內容包含「國軍辦理機場航空噪音改善作業法令依據」及「機場噪音補助經費」等。,xmlData,國防部
全民國防教育-「國防知性之旅-營區開放」活動成效,20485,營區開放活動,,國防部
國防資源釋商執行成果,20486,本資料內容包含「國防資源釋商法令依據」、「年度釋商目標」及「釋商內容」等。,xmlData,國防部
國防部促參案件辦況一覽表,20487,本資料內容包含「促參案件名稱」、「公共建設類別」、「民間參與方式」及「目前進度」等。,xmlData,國防部
抗戰相關書目清冊,20489,國防部歷年編印抗戰相關書目，計88筆149冊。提供相關書目名稱、作者、出版者、出版年份、圖書分類索書號等資訊，供民眾參考。,項次;題名;作者;出版者/出版地;出版年;索書號;備註,國防部
國防部政府國防廉潔指數評鑑,20490,政府國防廉潔指數評鑑(GDAI)成立宗旨及評鑑內容介紹，並包含本部參與評鑑之成績及整備情形。,1. 簡介2. 評鑑模式3. 本部歷年成績,國防部
後備部隊教育召集梯次表,20491,年度教育及勤務召集梯次流路,年;月;日;動員符號;報到地址;營區資料,國防部
國防部後備指揮部災害防救本部工作項目,20494,國防部後備指揮部災防工作項目,國防部後備指揮部災防工作項目,國防部
後備指揮部後備軍人管理對象與期程,20495,後備軍人區分對象與管理期程、權利與義務等相關說明,項次;說明,國防部
國防部後備指揮部後備軍人輔導組織設置辦法,20497,後備軍人輔導組織設置辦法,後備軍人輔導組織設置辦法及掌管事項,國防部
