資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
國史館臺灣文獻館107年度5月份會計月報,86149,國史館臺灣文獻館107年度5月份會計月報資料,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,國史館臺灣文獻館
中央研究院人文及社會科學學術性專書獎得獎名單,86222,中央研究院人文及社會科學學術性專書獎得獎名單,西元年;書名;英文書名;得獎人姓名;得獎人英文姓名;單位;英文單位;職稱;英文職稱,學術及儀器事務處
中央研究院公開之貴重儀器一覽表,86277,全院公開之貴重儀器一覽表,所別單位;存放地點;所屬設施名稱;中文名稱;英文名稱;廠牌規格;保管人;保管人電話;聯絡人;聯絡人電話;儀器功能;相關網址,學術及儀器事務處
中央研究院資訊課程訓練人數統計,86284,中央研究院資訊課程受訓人數統計,課程名稱;開課日期;堂數;總時數;實到人次,資訊服務處
中央研究院年輕學者研究著作獎得獎名單,86355,中央研究院年輕學者研究著作獎得獎名單,序號;西元年;組別;得獎人姓名(中);得獎人姓名(英);服務單位(中);服務單位(英);部門(中);部門(英);職稱(中);職稱(英);備註(中);備註(英),學術及儀器事務處
中央研究院深耕計畫核定通過名單,86360,中央研究院深耕計畫核定通過名單,序號;西元年;組別;研究所(處)、中心;計畫編號;計畫名稱(中);計畫名稱(英);計畫主持人(中);計畫主持人(英);職稱(中);職稱(英);執行期間(起);執行期間(迄);備註,學術及儀器事務處
中央研究院人文社會科學博士候選人培育計畫核定通過名單,86361,中央研究院人文社會科學博士候選人培育計畫核定通過名單,序號;年度;研究所(處)、中心;姓名(單位);備註,學術及儀器事務處
中央研究院資訊相關訓練課程,86440,中央研究院資訊相關訓練課程,課程分類;課程名稱;開課日期;時數;堂數;課程大綱,資訊服務處
中央研究院中文出版品清單 - 中央研究院叢書,86546,中央研究院中文出版品清單 - 中央研究院叢書,序號;書名;書名副標題;作者;出版資訊;簡介,學術及儀器事務處
中央研究院中文出版品清單 - 院士叢書,86547,中央研究院中文出版品清單 - 院士叢書,序號;書名;書名副標題;作者;出版資訊;簡介,學術及儀器事務處
中央研究院主題研究計畫核定通過名單,86548,中央研究院主題研究計畫核定通過名單,序號;西元年;組別;計畫編號;計畫名稱(中);計畫名稱(英);計畫主持人(中);計畫主持人(英);計畫主持人所屬單位(中);計畫主持人所屬單位(英);參與研究人員所屬單位(中);參與研究人員所屬單位(英);執行期間(起);執行期間(迄);是否為分支計畫;備註,學術及儀器事務處
中央研究院永續科學研究計畫核定通過名單,86550,中央研究院永續科學研究計畫核定通過名單,序號;西元年;計畫編號;計畫名稱(中);計畫名稱(英);計畫主持人(中);計畫主持人(英);參與研究人員所屬單位(中);參與研究人員所屬單位(英);執行期間(起);執行期間(迄),學術及儀器事務處
中央研究院延聘博士後研究學者核定通過名單,86553,中央研究院延聘博士後研究學者核定通過名單,序號;年度;組別;申請類別;所屬單位(中);所屬單位(英);博士後姓名(中);博士後姓名(英),學術及儀器事務處
中央研究院國內學人短期來院訪問研究核定通過名單,86554,中央研究院國內學人短期來院訪問研究核定通過名單,序號;年度;組別;訪問單位;姓名(單位),學術及儀器事務處
中央研究院資訊訓練課程滿意度調查,86563,中央研究院歷年資訊訓練課程滿意度調查,開課日期;課程名稱;講師上課進度控制;講師上課表達能力;講師教學態度;講師對上課內容熟練度;講師授課方法是否合宜;講師授課時問題的解答能力;教材的適用性;上課地點的硬體設備;上課地點的環境設施;本次教育訓練整體服務,資訊服務處
106中央研究院科學研究基金附屬單位決算,86602,106年度中央研究院科學研究基金附屬單位決算,年度;網址,中央研究院
中央研究院太平洋鄰里協會歷年年會主題演講,87299,提供太平洋鄰里協會年會暨聯合會議主題演講影片連結,Year 年份;主題講者 Keynote Speaker;單位 Affiliation;演講主題 Speech Title;網址 URL,資訊服務處
中央研究院太平洋鄰里協會歷年會議地點及主題,87300,提供太平洋鄰里協會歷年會議地點及主題,年份 Year;城市 City;國家 Country;會場 Venue;會議主題 Main Theme,資訊服務處
國史館臺灣文獻館107年度6月份會計月報,87357,國史館臺灣文獻館107年度6月份會計月報資料,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,國史館臺灣文獻館
國史館107年6月會計月報,87650,國史館107年6月會計月報資料,,國史館
國史館107年6月特別預算會計月報,87669,國史館107年6月特別預算會計月報資料,,國史館
中央研究院資訊服務處歷年新書清單,87855,提供中央研究院資訊服務處歷年新書清單,年度;題名;作者;ISBN;出版者;出版年,資訊服務處
中央研究院辦理智財技轉相關法規,88868,中央研究院在辦理智財技轉時所依據之法規,法規名稱;最後更新日期;下載網址,智財技轉處
中央研究院各研究所 (處及研究中心 ) 與國內、外研究機構 (單位 ) 學術交流合作及締約資料,89184,中央研究院合約一覽表,主題;列表;連結,國際事務處
中央研究院新聞稿,89204,中央研究院發布新聞稿,新聞標題;內容連結;刊登日期,秘書處
中央研究院資訊室主管及管理者經驗交流座談會歷年會議資料,89213,本會目的為促進本院資訊室主管及管理者彼此之間的經驗分享與資訊交流，並對本院的資訊願景提出討論， 每年預定舉辦2 次，建立互動溝通與資源共享的探討交流園地 。,序號;會議時間;會議地點;座談會演講主題;座談會演講主講人;出列席人次,資訊服務處
中央研究院90 - 109年退休（資遣）撫卹人數統計表,89214,退休（資遣）撫卹人數統計表,年度;研究人員退休;研究人員資遣;研究人員撫卹;行政技術人員退休;行政技術人員資遣;行政技術人員撫卹;總計,人事室
中央研究院資訊服務處重要紀事,89216,中央研究院資訊服務處歷年紀事,年度;連結網址,資訊服務處
中央研究院歷年前瞻計畫特別預算會計月報,89217,中央研究院歷年前瞻計畫特別預算會計月報,年度;網址,主計室
中央研究院各圖書館開放時間一覽表,89232,中央研究院各圖書館開放時間一覽表,圖書館名稱;地址;電話;開放時間;圖書館網址,資訊服務處
中央研究院資訊處電子服務台歷年服務案件統計,89238,電子服務台案件數統計，包含編號、洽詢方式、分類：問題描述、分類：解決方法、滿意程度(分數)等欄位,編號;洽詢方式;分類：問題描述;分類：解決方法;滿意程度(分數),資訊服務處
中央研究院免費開放之學術資料庫清單,89243,中央研究院免費開放之學術資料庫清單,單位;資料庫名稱;網址;備註,資訊服務處
中央研究院行政電腦化推動委員會,89246,中央研究院行政電腦化推動委員會，每三個月召開一次定期會議，推動行政電腦化業務，以提升整體行政效率及品質。本資料集含會議名稱、屆次、召開時間、出席人數及列席人數。,會議名稱;屆次;召開日期;出席人數;列席人數,資訊服務處
中央研究院資訊服務處歷年訂購資料庫清單(2018-),89248,中央研究院資訊服務處歷年訂購資料庫清單(自107年起提供),序號;資料庫名稱;網址,資訊服務處
