警察局取締酒駕違規及移送法辦件數一覽表,['27032']
警察局受理警察刑事紀錄證明案件統計表,['27127']
警察局各分局巡邏線箱數量,['27062']
警察局各分駐(派出)所數量,['27063']
警察局各單位電話地址,['27073']
警察局員警常年訓練成效統計表,['27130']
警察局單位預算彙整表,['27102']
警察局固定式違規照相設備設置地點,['27027']
警察局執行家戶訪查發現及處理戶口(籍)案件成果統計表,['27099']
警察局山地治安管制統計表,['27108']
警察局攻勢勤務線上查獲績效表,['27083']
警察局施政計畫,['27077']
警察局查獲侵害智慧財產權案件成果,['27097']
警察局查獲經濟案件統計,['27095']
警察局業務職掌,['27024']
警察局歲出預算編列暨執行統計,['27110']
警察局民眾申請國家賠償案件統計表,['27122']
警察局民防團隊年度訓練成果統計表,['27121']
警察局民防團隊編組人數統計表,['27111']
警察局社區治安會議辦理情形統計表,['27065']
警察局組織編制,['86376']
警察局義勇警察訓練及服勤成果統計表,['27109']
警察局舉發違反道路交通管理事件成果統計表,['27089']
警察局舉發違反高速公路及快速公路管制規定成果統計表,['27094']
警察局處理家庭暴力案件統計表,['27081']
警察局處理違反社會秩序維護法案件統計,['27096']
警察局警光山莊電話、地址,['27076']
警察局警察人員傷亡人數統計表,['27105']
警察局警察人員懲處統計表,['27104']
警察局警察人員獎勵統計表,['27103']
警察局警察人員職員退休、資遣、撫卹人數統計表,['27106']
警察局警察人員違法起訴案件統計表,['27107']
警察局警用車輛油料管理報表,['27075']
警察局財產統計表,['27074']
警察局路口監錄系統設置地點,['27066']
警察局運用山地義勇警察服行山地警備治安協助勤務人數統計表,['27112']
警察局道路交通事故原因及損傷統計表,['27093']
警察局防空疏散避難設施統計表,['122729']
財政稅務局-政府資訊公開-業務統計,['96549']
財政稅務局-政府資訊公開-稅捐統計要覽,['96554']
財政稅務局-政府資訊公開-統計分析,['96552']
財產申報抽籤結果,['122657']
資訊公開專區保有之個人資料項目,['36911']
資訊公開專區常用資訊,['36909']
資訊公開專區支付或接受之補助,['36905']
資訊公開專區施政計畫及業務統計,['36908']
資訊公開專區法律、法規及行政規則,['36907']
資訊公開專區組織、職掌及聯絡資訊,['36910']
資訊公開專區請願結果及訴願決定,['36912']
資訊公開專區議會工作報告,['36913']
資訊公開專區預算及決算書,['36906']
跨縣市飲用水保護區,['26962']
身心障礙人數分配,['78413']
身心障礙福利機構概況,['23098']
身心障礙者指紋建檔人數一覽表,['27126']
轄內抽水站,['99764']
轄內身心障礙者日間照顧及住宿式照顧合約機構一覽表,['78173']
辦理急難救助概況,['23100']
辦理社區整體照顧服務體系A級單位佈建名單,['79046']
農業處-便民服務-服務項目,['37053']
農業處-便民服務-檔案下載,['37052']
農業處-最新訊息-公告資訊,['37047']
農業處-業務項目-資訊公開專區,['37050']
農業處-相關網站,['37051']
違反毒品危害防制條例行政裁罰處分人數統計表,['27061']
違反法令事業單位,['17331']
避難收容處所,['90375']
醫療機構名冊,['102923']
醫療資源概況表,['91504']
防治人口販運工作通報窗口一覽表,['27128']
防災資訊網-歷史專案,['45978']
防災資訊網-相關連結,['45976']
電動機車充電站設置地點,['26471']
青少年福利機構,['104210']
預告統計資料發布時間表,['26265']
食品工廠名冊,['90286']
飲水機位置清冊,['98713']
飲用水保護區,['26960']
高再犯危險之性侵害加害人人數統計表,['27080']
高風險家庭關懷服務單位,['26779']
鹿草垃圾焚化廠室內溫水游泳池使用統計,['98524']
鹿草焚化廠底渣飛灰檢測報告,['98523']
