資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
國立自然科學博物館展示資源,6423,本資料集主要提供國立自然科學博物館展示資源，用文、圖、語音及影像等效果，將實體展示依主題加以歸類呈現，包括生命科學、地球環境及人類文化等內容。,展廳;標題;網址,國立自然科學博物館
國立自然科學博物館最新消息,6424,本資料集主要提供國立自然科學博物館最新消息，包括新聞、公告、徵才、活動等訊息資料。,category;title;keyword;content;url;dtype;post_date;online;ontop;zone;related_image;related_file;updated,國立自然科學博物館
公共圖書館統計,6425,本資料集主要彙整全國公共圖書館基本資料與統計資訊，由各館定期上網填報資料，以呈現國內公共圖書館的營運狀況，並可作為未來制定圖書館各項政策的參考。資料收集期間為當年度1-3月開放各館填報上一年度1-12月資料(即：2018年收集2017年之全年資料)，如需產生2011-2016年統計資料，請至公共圖書館統計系統使用(https://publibstat.nlpi.edu.tw)。,縣市別;圖書館數 總館(所);分館(所);區館(所);服務轄區人口數;東南亞新移民人口數;專屬社群網站(個);館外服務站 所(個);圖書巡迴車;全年購買圖書資料費-預算(元);圖書;電子書;期刊;報紙;視聽資料;電子資料;其他圖書資料;全年購買圖書資料費-決算(元);圖書(決算);電子書(決算);期刊(決算);報紙(決算);視聽資料(決算);電子資料(決算);其他圖書資料(決算);館舍總面積(平方公尺);供讀者使用的電腦數(台);供讀者使用的平板電腦數(台);編制內總館員數(人);編制內專業人員;編制內行政人員;編制內技術人員;臨時人員;約聘僱人員;工讀生;志工人數;其他;圖書及非書資料收藏數量;一、圖書資料;圖書(冊數);期刊(種數);報紙(種數);其他(決算);二、非書資料;地圖(張);微縮單片(片);微縮捲片(捲);錄音資料(片、捲);錄影資料(片、捲);靜畫資料(幅);其他(件);三、電子資源;線上資料庫(自購或自行建置);光碟資料庫(種);其他類型資料庫(種);電子書(種);四、東南亞圖書及非書資料收藏數量(包含於總館藏量下);閱覽席位數(席);全年圖書資訊借閱人次;全年圖書資訊借閱冊數;全年電子書借閱人次;全年電子書借閱冊數;全年電子資料使用次數;全年推廣活動(場次);一般閱讀推廣活動(場次);幼兒閱讀推廣活動(場次);兒童閱讀推廣活動(場次);青少年閱讀推廣活動(場次);樂齡閱讀推廣活動(場次);新住民閱讀推廣活動(場次);社教藝文活動(場次);地方特色活動(場次);說故事(場次);影片欣賞(場次);其他(場次);全年推廣活動(人次);一般閱讀推廣活動(人次);幼兒閱讀推廣活動(人次);兒童閱讀推廣活動(人次);青少年閱讀推廣活動(人次);樂齡閱讀推廣活動(人次);新住民閱讀推廣活動(人次);社教藝文活動(人次);地方特色活動(人次);說故事(人次);影片欣賞(人次);其他(人次),國立公共資訊圖書館
國立自然科學博物館學習資源,6453,本資料集主要提供國立自然科學博物館科普學習資源，包括「環境變遷」等時事性的熱門議題；同時提供「生物多樣性」、「演化」及「文化社會」等重要主題供探討。,類別;標題;網址,國立自然科學博物館
國立公共資訊圖書館期刊訂閱一覽表,6454,本資料集主要提供本館訂閱期刊雜誌資訊，提供使用者可依語言、筆劃、架號進行瀏覽與查詢。,架號;語文;種類;刊名;刊期,國立公共資訊圖書館
國立公共資訊圖書館獎助博碩士論文,6455,本資料集主要提供本館獎助博碩士論文清單及全文電子檔下載服務。,年度;學位;獎助論文名稱;姓名;學校系所;指導教授;檔案連結,國立公共資訊圖書館
國立公共資訊圖書館聽視障資訊中心館藏目錄清單,6456,本資料集主要收錄本館聽視障資訊中心有聲書、點字書、雙視書等館藏清單，便於使用者查詢使用。,書號;書名;作者;條碼號;索書號;類型,國立公共資訊圖書館
國立科學工藝博物館遺失物資訊,6457,本資料集主要提供科工館遺失物招領資訊,編號;拾獲日期;遺失物名稱;拾獲地點,國立科學工藝博物館
國立科學工藝博物館推廣教育活動訊息,6472,本資料集主要提供科工館辦理之各項推廣教育活動訊息，包含活動系列、期間、名稱、報名費用、名額、地點等資訊。,活動系列;活動期間;活動名稱;報名費用;活動名額;地點,國立科學工藝博物館
歷屆原住民運動會資料,6526,本資料集主要提供自民國83年至108年所舉辦之原住民運動會資料，主要內容係舉辦日期、競賽種類、民俗活動種類、該年舉辦主題及吉祥物、參加人數等資料。,年度;承辦縣市;舉辦日期;競賽項目;競賽種類;民俗活動;參與縣市單位;主題;吉祥物;聖火引燃地點;參加人參加選手,教育部體育署
