檔案管理局推動機關計畫性檔案清理計畫,['81047']
檔案管理局新聞稿,['81055']
檔案管理局會計月報,['18766']
檔案管理局檔案管理專業種子教師統計,['103294']
檔案管理局決算,['10426']
檔案管理局留職停薪人數統計,['81057']
檔案管理局編制表,['31179']
檔案管理局職員學歷、年齡、官等性別統計報表,['31178']
檔案管理局職員年度訓練學習時數統計,['103300']
檔案管理局職員考試統計報表,['81058']
檔案管理局身心障礙人員進用統計表,['95316']
檔案管理局電子化會議執行情形資訊,['81056']
檔案管理局電子檔案技術服務媒體數量統計資訊,['56290']
檔案管理局電子檔案技術服務類別件數統計資訊,['56289']
檔案管理局預算,['10408']
檔案管理研習班課程表,['81042']
檔案資源館藏地,['16057']
歐洲商會白皮書議題處理情形,['31779']
歐盟GDPR簡介與因應,['103293']
歐盟一般資料保護規則(GDPR)法規,['127170']
歷屆「政府服務品質獎｣參獎、入圍及得獎機關情形統計,['56321']
歷屆政府服務品質獎入圍機關名單,['31571']
歷屆政府服務獎參獎、入圍及得獎機關情形統計,['127163']
歷屆機關檔案管理金檔獎獲獎機關名單,['22130']
歷年國家檔案移轉長度統計,['95313']
歷年政府捐助之財團法人行政監督專案小組監督行政院所屬機關財團法人家數,['70707']
歷年私人文書返還統計,['95312']
歷年退場之政府捐助成立之財團法人,['95331']
歷次景氣循環認定工作,['34004']
死亡推估,['34010']
死亡機率推估,['39492']
民營事業污染防治設備低利貸款要點及貸放情形,['28275']
民眾申請應用國家檔案情形統計,['103296']
水利資源-機關檔案目錄,['33475']
水損檔案緊急搶救,['56226']
決算,['21246']
法制作業內部辦理流程圖,['27542']
法制類委託研究計畫清單,['56310']
法規鬆綁建言平臺民眾建言之處理情形,['56311']
海外投資融資貸款要點及貸放情形,['28278']
消費提振措施,['31552']
營造國際友善環境工作手冊,['31641']
營造國際生活環境宣導教材,['31783']
營造國際生活環境歷次建設計畫,['31711']
物聯網產業大聯盟推動情形,['57491']
瑞士洛桑管理學院(IMD)世界競爭力,['22122']
產業結構-機關檔案目錄,['33484']
產業缺人才現況與對策,['127168']
申請國發基金投資之公司營運計畫書電腦,['28264']
當前物價穩定措施,['31563']
當前經濟情勢月報,['31557']
當前經濟情勢簡報,['31558']
研考雙月刊資訊,['31626']
社會保險及退休金制度簡表,['31527']
社會發展委託研究歷年出版品資訊,['31796']
社會發展類中長程個案計畫執行情形,['113780']
社會發展類委託研究計畫清單,['14104']
社會福利-機關檔案目錄,['33482']
科技-機關檔案目錄,['56280']
空氣污染-機關檔案目錄,['33474']
節能減紙指標-公文線上簽核比率,['7616']
節能減紙指標-公文電子交換比率,['7615']
紙質檔案修裱簡介,['56228']
紙質類-國家檔案清查報告,['81048']
紙質類國家檔案數位化數量統計,['127158']
