司法統計指標-智慧財產法院刑事訴訟審判終結件數,['44318']
司法統計指標-智慧財產法院收結件數,['44316']
司法統計指標-智慧財產法院民事訴訟審判終結件數,['44317']
司法統計指標-暨所屬各機關員工人數(年報),['44305']
司法統計指標-最高法院刑事第3審智慧財產權案件裁判結果,['44361']
司法統計指標-最高法院受理重大刑案科刑人數,['44342']
司法統計指標-最高法院受理重大刑案被告人數,['44339']
司法統計指標-最高法院民刑事案件收結件數,['44324']
司法統計指標-最高行政法院行政訴訟事件收結件數,['44308']
司法統計指標-民事訴訟上訴第2審終結件數,"['44326', '44329']"
司法統計指標-民事訴訟上訴第3審終結件數,"['44327', '44330']"
司法統計指標-民事訴訟第1審終結件數,"['44325', '44328']"
司法統計指標-行政訴訟上訴事件終結件數,['44309']
司法統計指標-行政訴訟第1審終結件數,['44312']
司法統計指標-高等法院刑事第2審智慧財產權案件裁判結果,['44360']
司法統計指標-高等法院受理重大刑案科刑人數,['44341']
司法統計指標-高等法院受理重大刑案被告人數,['44338']
司法統計指標-高等法院民刑事案件收結件數,['44322']
司法統計指標-高等行政法院行政訴訟事件收結件數,['44311']
司法統計指標智慧財產法院行政訴訟審判終結件數,['44319']
司法統計月報及所屬各機關各項案件新收概況,"['44239', '44240']"
司法統計月報各級法院宣告緩刑人數統計情形,['44295']
司法統計月報各級法院行政法院及懲戒法院未結案件經過時間,['44296']
司法統計月報各級法院辦理重大刑事案件科刑情形,['44294']
司法統計月報各級法院重大刑事案件收結情形及未結案件經過時間,['44293']
司法統計月報地方法院刑事案件辦理概況,"['44277', '44278']"
司法統計月報地方法院刑事第1審案件裁判結果,['44282']
司法統計月報地方法院刑事第1審終結案件科刑人數,['44283']
司法統計月報地方法院刑事第1審終結案件罪名別,['44281']
司法統計月報地方法院刑事終結案件訴訟程序,['44279']
司法統計月報地方法院家事事件辦理概況,"['44269', '44270']"
司法統計月報地方法院家事終結事件訴訟程序,['44271']
司法統計月報地方法院少年刑事第1審案件裁判結果,['44285']
司法統計月報地方法院少年及兒童保護事件執行收結情形,['44288']
司法統計月報地方法院少年及兒童保護事件審理收結情形,['44287']
司法統計月報地方法院少年及兒童保護事件調查收結情形,['44286']
司法統計月報地方法院少年法庭案件收結情形,['44284']
司法統計月報地方法院核發通信調取案件情形,['44292']
司法統計月報地方法院核發通訊監察案件情形,['44291']
司法統計月報地方法院民事事件辦理概況,"['44260', '44261']"
司法統計月報地方法院民事保護令聲請事件終結情形,"['44272', '44273']"
司法統計月報地方法院民事強制執行事件收結概況,['44274']
司法統計月報地方法院民事消債事件收結情形,"['44266', '44267']"
