資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
原住民族音樂專輯介紹,7143,2011年台灣原住民族文化產業年報介紹之音樂專輯清單。,Seq;DateListed;Ethnic;Name;AlsoKnownAs;Overview;Region;Keywords;CreateTradition;Creator;Type;Topic;Material;CreatTime;History;Award;LiteratureRecords;RelatedAudioRecord;PerformanceSingHours;PerformanceSingTime;PerformanceSingPlace,原住民族委員會
原住民族文獻會電子期刊,7144,原民會文獻會電子期刊書目資料，可作為原民文化研究者之參考依據。,Seq;DateListed;ElectronicJournalName;Subject;Title;Author;InfoLink;license;DataSource,原住民族委員會
原住民網路學院課程內容,7145,原住民網路學院課表資料，可作為研修原民文化課程之參考。,Seq;DateListed;Topic;Category;Subcategories;Name;TargetAudience;Interaction;CourseDate;Lenth;Description;UnitIntroduction;license;DataSource,原住民族委員會
101年度原住民族生物多樣性傳統知識調查提案部落,7146,為保存台灣原住民各族群之傳統生態智慧，以及強化生物多樣性傳統知識之研究與管理，公告生物多樣性傳統知識提案部落。作為了解原民傳統生態知識文化。,Seq;DateListed;Year;Ethnic;Tribe;Contact;license;DataSource,原住民族委員會
臺灣原住民族圖書資訊中心研究資源,7147,臺灣原住民族圖書資訊中心建置的臺灣原住民資訊資源網資訊，包含碩博士研究報告、原民會委託研究報告等書目清單資料，可作為原民文化研究者之參考依據。,Seq;DateListed;ResearchName;ResearchTime;HostAuthor;ImplementationUnit;NatureImplementationUnit;Requester;Topic;license;DataSource,原住民族委員會
臺灣原住民族圖書資訊中心典藏書目,7148,臺灣原住民族圖書資訊中心歷年典藏的書目資料，可作為原民文化研究者之參考依據。,Seq;DateListed;BookName;AuthorPublisher;Price;DataSource,原住民族委員會
台灣原住民族古道簡介資料,7149,收錄文化園區100年委託研究報告日治三星、角板山道路、日治比亞豪道路 (含寒溪支線)、日治霧社、萬大道路、清崙凹古道 (赤山、卑南古道)、清代恆春、卑南古道，可作為遊客規劃旅遊之之參考。,Seq;DateListed;Name;Summary;StartingPoint;Length;History;EthnicGroups;DugYears;Impact;CurrentSituation;ResearchStatus;CulturalLandscapesAndSpecialNaturalLandscape;SaveAndReuseProposal;Year,原住民族委員會
103年原住民族地區觀光活動,7150,各縣市原住民地區103年度的觀光活動、文化祭典之時間表,Seq;DateListed;CountyCity;ActivitiesDate;Name;Location,原住民族委員會
台灣原住民族文化園區文化體驗時間表,10076,台灣原住民族文化園區文化體驗時間表,Seq;DateListed;Name;OpenDate;MorningTime;AfternoonTime;URL,原住民族委員會
台灣原住民族文化園區歌舞表演時間表,10077,台灣原住民族文化園區歌舞表演時間表,Seq;DateListed;Name;OpenDate;Time;URL,原住民族委員會
